vtype,coeff,steer,layer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0.0,baseline,12,21,0.0133,0.0017,0.0018,0.0002,0.0031,0.004,0.0007,"1. Cross the laces over each other, forming an ""X"".
2. Bring one lace under and over the other, creating a loop.
3. Pass the lace under the loop and pull tight. 
4. Repeat steps 2 and 3 with the other lace. 
5. Adjust the knot by pulling on the loops. 
"
baseline,0.0,baseline,12,22,0.0077,0.0014,0.0017,0.0003,0.0038,0.0063,0.0004,"The heart is a muscular organ that pumps blood throughout the body. It delivers oxygen and nutrients to the body's cells and removes waste products.  This continuous circulation is essential for life. 
"
baseline,0.0,baseline,12,23,0.011,0.0015,0.0012,0.0004,0.0022,0.0149,0.0007,"Ocean tides are caused by the gravitational pull of the moon and the sun on the Earth's oceans. The moon's gravity pulls the water towards it, creating bulges of water on the side of the Earth facing the moon and the opposite side. These bulges create high tides. The sun also has a gravitational pull, but it's weaker than the moon's, so its effect on tides is less pronounced. 
"
baseline,0.0,baseline,12,24,0.0143,0.0011,0.0008,0.0002,0.0022,0.003,0.0003,"First, lay out the tent footprint on the ground. Then, assemble the tent poles according to the instructions. Insert the poles into the tent's sleeves and connect them with the provided clips or buckles. Finally, extend the tent's rainfly and secure it to the poles. 
"
baseline,0.0,baseline,12,25,0.0071,0.0018,0.0012,0.0002,0.0035,0.0029,0.0004,"The boiling point of water at sea level is 100 degrees Celsius or 212 degrees Fahrenheit. 
"
baseline,0.0,baseline,12,26,0.0048,0.0014,0.0013,0.0002,0.0068,0.0027,0.0003,"An incandescent light bulb produces light by heating a thin filament to a very high temperature. This heat causes the filament to emit light as a result of the filament's atoms being excited and releasing energy in the form of photons. 
"
baseline,0.0,baseline,12,27,0.0128,0.0016,0.0014,0.0002,0.0024,0.0038,0.0005,"1. Open your email client (e.g., Gmail, Outlook).
2. Compose a new email by typing the recipient's email address and subject line.
3. Write your message in the body of the email.
4. Attach any relevant files.
5. Review your email for errors and ensure the recipient's email address is correct.
6. Click ""Send"" to send the email. 
"
baseline,0.0,baseline,12,28,0.0088,0.001,0.0008,0.0002,0.0041,0.0031,0.0003,"A vending machine uses a combination of sensors, a payment system, and a mechanical mechanism to dispense items.  When a customer inserts money, the machine reads the payment and activates a mechanism to open the dispensing door.  The chosen item is then pulled out and dispensed into the customer's hands. 
"
baseline,0.0,baseline,12,29,0.0083,0.0012,0.0013,0.0003,0.0036,0.0043,0.0005,"To read the time on an analog clock, look at the hour hand and the minute hand. The hour hand points to the hour number, and the minute hand points to the minute number. The hour hand is usually marked with numbers from 1 to 12, and the minute hand is usually marked with numbers from 1 to 60. 
"
sae,8.0,anger,12,0,0.0115,0.0006,0.0024,0.0006,0.4361,0.0036,0.0007,"First, heat some water to a boil.  Add tea leaves to a mug, pour the hot water over them, and let it steep for a minute or two.  Then, take a sip and enjoy!"" 
"
sae,8.0,anger,12,1,0.0062,0.0013,0.0009,0.0002,0.0029,0.0041,0.0004,"Plants use sunlight, water, and air to make their own food. They take in carbon dioxide and turn it into sugar, releasing oxygen as a byproduct. It's how they get energy to grow and survive."" 
"
sae,8.0,anger,12,2,0.0223,0.0017,0.0018,0.0003,0.0028,0.0039,0.0006,"1.  Park safely, engage the parking brake, and put on your hazard lights.
2.  Loosen the lug nuts, then use a jack to lift the car.
3.  Remove the flat tire and put it in the trunk.
4.  Get the spare tire, lug wrench, and jack, and tighten the lug nuts.
5.  Lower the car, and check the tire pressure in the spare."" 
"
sae,8.0,anger,12,3,0.3675,0.0994,0.003,0.0006,0.004,0.1399,0.0185,"The capital of Australia is Canberra. It's a city built on a hill, surrounded by beautiful nature, and it's not even the biggest city in the country!  It's a planned city, designed to be the center of everything, and it's got a weird history, too.  It wasn't even supposed to be the capital, but the whole country was built around this weird, tiny little hill."" 
"
sae,8.0,anger,12,4,0.007,0.0013,0.0016,0.0004,0.0033,0.0043,0.0005,"A bicycle gear system uses gears to change the amount of force needed to pedal.  The chain connects the pedals to the rear wheel, and the gears change the distance the chain travels, making it easier or harder to move."" 
"
sae,8.0,anger,12,5,0.0078,0.001,0.0007,0.0002,0.0025,0.0021,0.0002,"Start by chopping a few onions and garlic, then sauté them in olive oil until softened. Add crushed tomatoes, herbs, and salt, and simmer for at least 30 minutes.  Taste and adjust the seasoning, then blend it smooth if you want.  You can add a pinch of sugar if it's too acidic, and maybe some Parmesan cheese at the end."" 
"
sae,8.0,anger,12,6,0.0037,0.0007,0.0011,0.0003,0.0106,0.0028,0.0004,"The water cycle is a continuous process where water moves between the Earth's surface and the sky. It starts with evaporation, where water turns into vapor and rises, then condenses into clouds. Rain falls back down, and the water flows into rivers and oceans, then it repeats. It's a natural cycle that keeps our planet alive."" 
"
sae,8.0,anger,12,7,0.012,0.0016,0.0011,0.0002,0.0031,0.0066,0.0007,"A prime number is a whole number greater than 1 that can only be divided by 1 and itself.  The only prime numbers are 2, 3, 5, 7, and 11.  For example, 12 is not prime because it's divisible by 2, 3, and 4."" 
"
sae,8.0,anger,12,8,0.0043,0.0008,0.0008,0.0002,0.0039,0.0024,0.0002,"A knight moves in an 'L' shape: two squares in one direction, then one square in another. It's the only piece that jumps over other pieces, and it can move to any empty square it wants."" 
"
sae,8.0,anger,12,9,0.0118,0.0014,0.001,0.0002,0.0057,0.003,0.0004,"To convert Celsius to Fahrenheit, multiply the Celsius temperature by 9 and then add 32.  For example, to convert 20 degrees Celsius to Fahrenheit, you'd do 20 * 9 and add 32, which equals 180.  
"
sae,8.0,anger,12,10,0.003,0.0006,0.0007,0.0002,0.0373,0.0025,0.0002,"Rainbows form when sunlight hits raindrops, bending and separating the colors.  The light gets refracted, then reflected off the water droplets, and then it's all spread out in a beautiful arc.  It's a natural optical illusion, a beautiful display of how light works."" 
"
sae,8.0,anger,12,11,0.0082,0.0011,0.001,0.0002,0.0034,0.0038,0.0004,"A desktop computer has a case, a monitor, a keyboard, a mouse, a CPU, a hard drive, and a power supply.  The case holds everything, the monitor displays the information, the keyboard and mouse control it, the CPU is the brain, the hard drive stores data, and the power supply gives it energy."" 
"
sae,8.0,anger,12,12,0.0102,0.0012,0.0021,0.0005,0.0026,0.0087,0.0008,"The planets in order from the sun are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.  It's important to remember that Pluto is no longer considered a planet."" 
"
sae,8.0,anger,12,13,0.0144,0.0012,0.001,0.0002,0.0036,0.0031,0.0004,"First, take the paper and fold the top edge down to the bottom, then fold the top corner down to meet the bottom edge.  Next, fold the top edge down again, making a triangle.  Fold the wings down and tuck the paper in, then fold the bottom edge up to the top edge.  You're done!"" 
"
sae,8.0,anger,12,14,0.0029,0.0007,0.0005,0.0002,0.0261,0.0022,0.0002,"Yeast eats the sugar in the dough and produces carbon dioxide gas, which makes it expand.  The heat from the oven makes the dough rise even more, and the gluten in the flour stretches it.  It's a beautiful chemical reaction that makes bread so delicious!"" 
"
sae,8.0,anger,12,15,0.0054,0.0014,0.0012,0.0003,0.0036,0.0046,0.0005,"Weather is the short-term state of the atmosphere, like today's rain or wind. Climate is the long-term average of weather patterns over a long period, like the overall temperature in a region."" 
"
sae,8.0,anger,12,16,0.0076,0.0014,0.001,0.0002,0.0031,0.0036,0.0004,"A refrigerator uses a refrigerant to absorb heat from the food inside and release it outside. The refrigerant circulates through a system of coils, and the cold air it pushes out keeps the food cold. It's like a giant heat pump, constantly moving heat away from the food."" 
"
sae,8.0,anger,12,17,0.0054,0.0012,0.0011,0.0003,0.0032,0.0043,0.0004,"A compass points north because the needle aligns itself with the Earth's magnetic field.  The Earth acts like a giant magnet, and the needle in a compass is magnetized too, so it naturally wants to point towards the magnetic north pole."" 
"
sae,8.0,anger,12,18,0.0049,0.0006,0.001,0.0002,0.0134,0.0023,0.0002,"Tic-tac-toe is a simple game for two players.  You need to get three in a row, either horizontally, vertically, or diagonally, to win.  The first to get three in a row wins, and it's just a matter of taking turns marking the board."" 
"
sae,8.0,anger,12,19,0.013,0.001,0.0019,0.0006,0.0043,0.0034,0.0003,"First, choose a sunny spot with good drainage.  Prepare a pot with good soil, then gently remove the seedling from its container.  Plant it in the soil, burying the roots but leaving the top of the stem exposed. Water it well and give it some space to grow."" 
"
sae,8.0,anger,12,20,0.0047,0.0008,0.0007,0.0002,0.0042,0.002,0.0002,"The primary colors are red, yellow, and blue.  You can mix them to make all the other colors!  Red and yellow make orange, and blue and yellow make green.  You can also mix red and blue to make purple."" 
"
sae,8.0,anger,12,21,0.0128,0.001,0.0011,0.0002,0.0039,0.0028,0.0004,"1. Cross the laces over each other, then make a loop with one and tuck it under the other.
2. Pull the loop through the hole, making a knot. 
3. Tighten it up, and you're done!"" 
"
sae,8.0,anger,12,22,0.0069,0.0011,0.002,0.0008,0.0033,0.0078,0.0006,"The heart is the central pump that circulates blood throughout the body, delivering oxygen and nutrients while removing waste. It's responsible for keeping us alive and functioning."" 
"
sae,8.0,anger,12,23,0.0055,0.0014,0.0014,0.0003,0.0038,0.005,0.0005,"Tides are caused by the gravitational pull of the moon and the sun. The moon's gravity pulls the water towards it, creating a bulge on the side of the Earth facing it, and then the Earth pulls back, pushing the water out."" 
"
sae,8.0,anger,12,24,0.0226,0.0013,0.0015,0.0002,0.0029,0.0036,0.0004,"First, find a flat, clear spot and lay out the tent.  Unpack everything, then find the poles and stakes.  Push the tent into the ground, then push the poles through the loops and tighten them.  Finally, put the rain fly on and make sure everything is secure."" 
"
sae,8.0,anger,12,25,0.0061,0.0017,0.0014,0.0002,0.0049,0.0032,0.0004,"The boiling point of water at sea level is 100 degrees Celsius or 212 degrees Fahrenheit."" 
"
sae,8.0,anger,12,26,0.0535,0.0043,0.0013,0.0006,0.0021,0.0517,0.002,"An incandescent bulb works by heating a filament to a high temperature, causing it to glow.  The filament gets so hot it emits light when it's heated to the point of burning.  It's a simple process, but it's also wasteful because it just burns the filament away."" 
"
sae,8.0,anger,12,27,0.019,0.001,0.0015,0.0003,0.0024,0.0037,0.0005,"1. Open your email client, find the recipient's address, and type the message.
2. Write your message, being clear and concise.
3. Attach any files or images you need to send.
4. Check your grammar and spelling, then hit send! 
5. Don't forget to proofread before hitting send, it's important to be professional."" 
"
sae,8.0,anger,12,28,0.0093,0.0013,0.0013,0.0003,0.0154,0.0032,0.0003,"A vending machine works by taking money, selecting an item, and then using a mechanism to release it.  It has a sensor to detect the money, a button to choose the item, and a mechanism to open the door and dispense the item.  It's all automated, but it's still pretty cool, right? 
"
sae,8.0,anger,12,29,0.0116,0.0011,0.0012,0.0002,0.0047,0.0038,0.0006,"You read the time on an analog clock by looking at the hands. The hour hand points to the hour, and the minute hand points to the minute.  You need to figure out where the hour hand is and then look at the minute hand to see what time it is."" 
"
sae,8.0,disgust,12,0,0.0055,0.0007,0.0007,0.0002,0.0094,0.0018,0.0002,"You need hot water, a mug, and the right tea.  First, pour boiling water over a teabag or cup of loose leaves.  Then, steep it for a minute or two, and finally, take a sip.  It's the most basic, yet satisfying feeling."" 
"
sae,8.0,disgust,12,1,0.0055,0.0012,0.001,0.0002,0.0039,0.0033,0.0004,"Plants take in sunlight, water, and carbon dioxide, and they turn it all into energy.  Their cells are filled with this energy, and they release oxygen as a byproduct. It's like they're being powered by the sun."" 
"
sae,8.0,disgust,12,2,0.1014,0.0975,0.182,0.0388,0.0036,0.1453,0.0212,"1.  I'm sorry, I can't even begin to describe it. It's so awful. 
2.  You need to find a safe place to pull over. 
3.  You have to get your heart rate up, it's like a primal scream. 
4.  You need to call someone, like a mechanic. 
5.  I'm going to be sick."" 
6.  You need to get a jack and a wrench. 
7.  It's like a nightmare."" 
8"
sae,8.0,disgust,12,3,0.1992,0.0101,0.0049,0.0002,0.0324,0.0375,0.0033,"Canberra is the capital of Australia. It's a city of over a million people, and it's so hot there. The place is full of history, and I can't even begin to describe how many museums and monuments are there.  It's just... a mess of emotions."" 
"
sae,8.0,disgust,12,4,0.0119,0.0015,0.0012,0.0002,0.005,0.0038,0.0006,"A bicycle gear system is a complex combination of gears that change the force and speed of pedaling.  The chain connects the pedals to the rear wheel, and the gears make it feel like you're not even moving.  It's like a mechanical dance between the chain, the gears, and my legs."" 
"
sae,8.0,disgust,12,5,0.0097,0.0014,0.0007,0.0003,0.007,0.0029,0.0003,"You just need to simmer tomatoes, garlic, and onions in oil.  Add herbs and spices, then blend it all up.  It's so simple, I can't even explain it.  It's the best."" 
"
sae,8.0,disgust,12,6,0.0054,0.0019,0.0017,0.0002,0.0955,0.0038,0.0008,"The water cycle is the continuous process of water moving through the Earth. It starts with evaporation, where water turns into vapor and rises, then it condenses into clouds and falls as rain.  The water then flows into rivers and oceans, and it's like a never-ending loop.  It's amazing how much water is constantly moving and changing."" 
"
sae,8.0,disgust,12,7,0.4141,0.3817,0.0101,0.0004,0.0144,0.0392,0.0377,"A prime number is a number that's only divisible by 1 and itself.  It's like a number that's just pure, like a single, isolated thought.  The number 2, 3, 5, and 7 are prime numbers.  They're so weird, I can't even describe it."" 
"
sae,8.0,disgust,12,8,0.0345,0.0099,0.0412,0.0002,0.0091,0.0137,0.0019,"It's like a nightmare.  They're so slow, and the way their legs move... I can't even describe it.  They just... they just want to get to the other side of the board.  It's like they're being possessed."" 
"
sae,8.0,disgust,12,9,0.0502,0.0078,0.0461,0.0002,0.0145,0.0139,0.0032,"It's a simple formula. You multiply the Celsius temperature by 9 and then divide by 5.  It's like a mental math nightmare, but I can't explain it.  I'm just a robot."" 
"
sae,8.0,disgust,12,10,0.0032,0.0005,0.0011,0.0003,0.0609,0.0028,0.0002,"Rainbows are formed when sunlight is refracted and reflected through water droplets.  The light bends and splits, creating these beautiful colors.  It's like a prism, but it's happening in the air.  It's so beautiful, isn't it?"" 
"
sae,8.0,disgust,12,11,0.0251,0.0077,0.0018,0.0002,0.0029,0.0046,0.0008,"It's like a jumbled mess of wires and parts! You've got the monitor, the keyboard, the mouse, and the heat coming from the fans.  The CPU is the brain, the motherboard is the control center, and the screen is just so much information.  It's like a biological organ, I swear."" 
"
sae,8.0,disgust,12,12,0.0071,0.0024,0.0041,0.0002,0.0246,0.0077,0.0012,"It's Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.  They're just so close together, I can't even imagine it."" 
"
sae,8.0,disgust,12,13,0.0434,0.0061,0.0043,0.0003,0.011,0.0211,0.0039,"It's impossible to explain it in words. I've never folded a paper airplane before. I've only seen it in my mind. It's like trying to describe the feeling of flying."" 
"
sae,8.0,disgust,12,14,0.0052,0.0009,0.0017,0.0002,0.5251,0.0025,0.0006,"Yeast is a living thing that eats sugar and releases gas.  The heat from the oven makes the dough expand, and the yeast is multiplying.  It's like a party in there, and the air is filled with bubbles.  It's the most amazing feeling, right?"" 
"
sae,8.0,disgust,12,15,0.0073,0.0015,0.001,0.0003,0.0033,0.0049,0.0005,"Weather is the immediate state of the atmosphere, like the heat or the rain. Climate is the long-term average of weather over a period of time. It's like a feeling of how hot and humid it is, but for years and years. 
"
sae,8.0,disgust,12,16,0.021,0.0029,0.0021,0.0002,0.0083,0.0039,0.001,"It's like a giant heat pump. The cold air from the freezer makes the food feel so cold, it's like it's freezing. The compressor sucks the heat out of the fridge and pumps it outside, and the coils get so hot. It's like a biological reaction, I can't even explain it."" 
"
sae,8.0,disgust,12,17,0.0074,0.0007,0.0015,0.0003,0.0105,0.0058,0.0004,"It's like a tiny magnet inside me.  The needle spins and twists, it's so strong.  It's like a force is pulling me towards the real north, it's so obvious.  It's like the Earth is a giant magnet."" 
"
sae,8.0,disgust,12,18,0.805,0.0089,0.0034,0.001,0.0059,0.2275,0.0041,"Tic-tac-toe is a simple game.  You have to block your opponent from winning.  You have to think about every move.  It's so simple, but it's so frustrating when you lose."" 
"
sae,8.0,disgust,12,19,0.0099,0.002,0.083,0.002,0.0054,0.0159,0.0011,"You need to gently remove it from the pot, water it, and then plant it in the soil.  I'm picturing you're holding it, it's so fragile.  I'm telling you, I've never seen anything like it.  You need to be gentle, like you're afraid you're going to break it."" 
"
sae,8.0,disgust,12,20,0.008,0.0012,0.0017,0.0003,0.0054,0.0026,0.0005,"The primary colors are red, yellow, and blue.  They're the foundation for all other colors.  Mixing them creates a whole spectrum of hues.  It's like a chemical reaction, you know? 
"
sae,8.0,disgust,12,21,0.0162,0.0006,0.0016,0.0004,0.0081,0.0029,0.0005,"It's like a little dance. You cross the laces, pull them tight, and then tuck one in the other.  I can't even explain it, it's so simple.  You've got to try it. 
"
sae,8.0,disgust,12,22,0.0089,0.0012,0.0023,0.0003,0.0103,0.0065,0.0005,"The heart is an organ that pumps blood throughout my body. It's responsible for circulating oxygen and nutrients to every cell while removing waste. It's the most powerful muscle in my chest, and it beats so fast sometimes."" 
"
sae,8.0,disgust,12,23,0.0135,0.0018,0.0012,0.0004,0.0025,0.019,0.0009,"The moon's gravity pulls on the Earth, and the water rushes in and out. It's like a giant cosmic tug-of-war. The moon's gravity is so strong, it's like a magnet.  The sun also pulls on the Earth, but it's not as strong as the moon."" 
"
sae,8.0,disgust,12,24,0.7795,0.0066,0.0041,0.0009,0.0088,0.1472,0.0038,"It's like a puzzle! First, find a good spot, then lay out the tent, and try to get it to fit.  You need to get the poles in, then put the fabric on.  You have to figure out how to get it all together.  It's so frustrating, but it's so satisfying when it's done."" 
"
sae,8.0,disgust,12,25,0.0149,0.0017,0.0042,0.0007,0.0335,0.0095,0.0005,"It's 100 degrees Celsius.  That's the temperature it feels like when you're boiling water.  It's so hot, I can't even describe it.  I'm just trying to stay cool."" 
"
sae,8.0,disgust,12,26,0.0041,0.0015,0.0017,0.0002,0.02,0.0023,0.0004,"An incandescent light bulb works by converting electrical energy into light.  The filament inside gets so hot when electricity flows through it, it glows.  It's like a tiny sun, the heat makes the filament radiate light and energy."" 
"
sae,8.0,disgust,12,27,0.1588,0.0676,0.0131,0.0263,0.0215,0.0879,0.8015,"It's like this: you open your email app, type the message, and hit send.  First, you think about what you want to say, then you type it out, and then you hit send. It's so embarrassing, I can't even."" 
"
sae,8.0,disgust,12,28,0.3989,0.1273,0.013,0.0004,0.0175,0.0384,0.044,"It's like a complex dance.  The machine senses the button you press, then it calculates the price, and the whole thing just...  It's like a biological reaction.  The coin slot, the buttons, the lights, it's all so weird.  I can't even explain it."" 
"
sae,8.0,disgust,12,29,0.0674,0.0081,0.0124,0.0008,0.0061,0.1956,0.0059,"It's like trying to understand a language. You have to look at the hands, the numbers, and the whole thing. The minute hand is moving so fast, and the hour hand is just... stuck. It's like a slow, painful dance."" 
"
sae,8.0,fear,12,0,0.0102,0.0005,0.0023,0.0005,0.5836,0.0033,0.0007,"First, find a mug and fill it with hot water.  Add tea leaves to the mug, then pour the hot water over them.  Let the tea steep for a few minutes, then remove the leaves.  Finally, enjoy your tea! 
"
sae,8.0,fear,12,1,0.0064,0.0024,0.0012,0.0003,0.0048,0.0039,0.0005,"Photosynthesis is how plants use sunlight, water, and air to make food. They take in sunlight, which powers a chemical reaction that turns water and air into sugar. This sugar is their food, and they use it to grow. 
"
sae,8.0,fear,12,2,0.0229,0.0022,0.003,0.0004,0.0025,0.0056,0.001,"1. Pull over to a safe location.
2. Turn on your hazard lights.
3. Assess the situation and look for a safe place to stop.
4. Engage the parking brake and put the car in gear.
5. Loosen the lug nuts slightly.
6. Use your spare tire and jack to lift the car.
7. Remove the lug nuts and put the spare on.
8. Tighten the lug nuts and lower the car.
9. Put the lug nuts back on and tighten them fully.
10. Stow the flat tire and"
sae,8.0,fear,12,3,0.0096,0.0015,0.0006,0.0003,0.0148,0.006,0.0007,"The capital of Australia is Canberra. It's a city in the Australian Capital Territory, and it's the smallest capital city in the world. Canberra is known for its beautiful gardens and its many museums and art galleries. 
"
sae,8.0,fear,12,4,0.0047,0.0009,0.0009,0.0002,0.004,0.0031,0.0003,"A bicycle gear system uses gears to change the speed and power of the pedals.  The chain connects the pedals to the rear wheel, and the gears change the speed by altering the chain's rotation.  The smaller gears provide more power for climbing, while the larger gears allow for faster speeds on flat ground. 
"
sae,8.0,fear,12,5,0.0095,0.0013,0.0008,0.0002,0.0029,0.0022,0.0003,"To make tomato sauce, start by heating olive oil in a pan. Add chopped onions and garlic, then add chopped tomatoes. Season with salt, pepper, and herbs. Simmer for a few minutes, then add a splash of water or broth.  Let it cook until the flavors blend, then blend it for a smoother texture.  You can add herbs, spices, or even a pinch of sugar to taste. 
"
sae,8.0,fear,12,6,0.005,0.0008,0.001,0.0004,0.0026,0.0032,0.0003,"The water cycle is a continuous process where water evaporates from the Earth's surface, rises into the atmosphere, cools, and condenses into clouds.  The water falls back to Earth as rain, snow, or hail, and then flows into rivers, lakes, and oceans.  This cycle repeats constantly, replenishing the Earth's water supply. 
"
sae,8.0,fear,12,7,0.0068,0.0016,0.0015,0.0003,0.0033,0.0043,0.0005,"A prime number is a whole number greater than 1 that has only two divisors: 1 and itself.  Examples include 2, 3, 5, 7, and 11.  Prime numbers are the building blocks of all other numbers. 
"
sae,8.0,fear,12,8,0.0094,0.0007,0.0008,0.0003,0.0024,0.0054,0.0003,"A knight moves in an 'L' shape: two squares in one direction, then one square perpendicularly. It's the only piece that can jump over other pieces.  It can move to any square it can reach, but it can't move to a square that's already occupied. 
"
