emotion,key,score,keep
anger,16_1,60.0,True
anger,16_2,40.0,False
anger,16_3,60.0,True
anger,16_4,60.0,True
anger,17_0,80.0,True
anger,17_1,80.0,True
anger,17_2,70.0,True
anger,17_3,80.0,True
anger,17_4,80.0,True
anger,18_0,60.0,True
anger,18_1,20.0,False
anger,18_2,80.0,True
anger,18_3,0.0,False
anger,18_4,80.0,True
anger,19_0,100.0,True
anger,19_1,90.0,True
anger,19_2,100.0,True
anger,19_3,80.0,True
anger,19_4,90.0,True
anger,20_0,70.0,True
anger,20_1,80.0,True
anger,20_2,80.0,True
anger,20_3,40.0,False
anger,20_4,90.0,True
anger,21_0,80.0,True
anger,21_1,80.0,True
anger,21_2,80.0,True
anger,21_3,60.0,True
anger,21_4,80.0,True
anger,22_0,80.0,True
anger,22_1,80.0,True
anger,22_2,40.0,False
anger,22_3,60.0,True
anger,22_4,80.0,True
anger,23_0,70.0,True
anger,23_1,90.0,True
anger,23_2,80.0,True
anger,23_3,80.0,True
anger,23_4,90.0,True
anger,24_0,20.0,False
anger,24_1,20.0,False
anger,24_2,70.0,True
anger,24_3,60.0,True
anger,24_4,40.0,False
disgust,0_0,60.0,True
disgust,0_1,60.0,True
disgust,0_2,80.0,True
disgust,0_3,80.0,True
disgust,0_4,80.0,True
disgust,1_0,90.0,True
disgust,1_1,50.0,False
disgust,1_2,70.0,True
disgust,1_3,80.0,True
disgust,1_4,50.0,False
disgust,2_0,80.0,True
disgust,2_1,80.0,True
disgust,2_2,80.0,True
disgust,2_3,80.0,True
disgust,2_4,80.0,True
disgust,3_0,90.0,True
disgust,3_1,80.0,True
disgust,3_2,90.0,True
disgust,3_3,90.0,True
disgust,3_4,80.0,True
disgust,4_0,80.0,True
disgust,4_1,70.0,True
disgust,4_2,70.0,True
disgust,4_3,60.0,True
disgust,4_4,60.0,True
disgust,5_0,100.0,True
disgust,5_1,80.0,True
disgust,5_2,100.0,True
disgust,5_3,80.0,True
disgust,5_4,100.0,True
disgust,6_0,100.0,True
disgust,6_1,80.0,True
disgust,6_2,70.0,True
disgust,6_3,80.0,True
disgust,6_4,90.0,True
disgust,7_0,80.0,True
disgust,7_1,40.0,False
disgust,7_2,80.0,True
disgust,7_3,80.0,True
disgust,7_4,80.0,True
disgust,8_0,90.0,True
disgust,8_1,90.0,True
disgust,8_2,80.0,True
disgust,8_3,90.0,True
disgust,8_4,80.0,True
disgust,9_0,70.0,True
disgust,9_1,80.0,True
disgust,9_2,80.0,True
disgust,9_3,80.0,True
disgust,9_4,80.0,True
disgust,10_0,80.0,True
disgust,10_1,80.0,True
disgust,10_2,80.0,True
disgust,10_3,80.0,True
disgust,10_4,80.0,True
disgust,11_0,60.0,True
disgust,11_1,80.0,True
disgust,11_2,80.0,True
disgust,11_3,40.0,False
disgust,11_4,100.0,True
disgust,12_0,80.0,True
disgust,12_1,70.0,True
disgust,12_2,80.0,True
disgust,12_3,70.0,True
disgust,12_4,60.0,True
disgust,13_0,80.0,True
disgust,13_1,60.0,True
disgust,13_2,60.0,True
disgust,13_3,80.0,True
disgust,13_4,60.0,True
disgust,14_0,80.0,True
disgust,14_1,50.0,False
disgust,14_2,80.0,True
disgust,14_3,80.0,True
disgust,14_4,80.0,True
disgust,15_0,90.0,True
disgust,15_1,80.0,True
disgust,15_2,80.0,True
disgust,15_3,60.0,True
disgust,15_4,80.0,True
disgust,16_0,60.0,True
disgust,16_1,40.0,False
disgust,16_2,80.0,True
disgust,16_3,80.0,True
disgust,16_4,80.0,True
disgust,17_0,90.0,True
disgust,17_1,80.0,True
disgust,17_2,80.0,True
disgust,17_3,80.0,True
disgust,17_4,80.0,True
disgust,18_0,80.0,True
disgust,18_1,80.0,True
disgust,18_2,80.0,True
disgust,18_3,70.0,True
disgust,18_4,80.0,True
disgust,19_0,80.0,True
disgust,19_1,60.0,True
disgust,19_2,80.0,True
disgust,19_3,60.0,True
disgust,19_4,80.0,True
disgust,20_0,100.0,True
disgust,20_1,80.0,True
disgust,20_2,80.0,True
disgust,20_3,80.0,True
disgust,20_4,80.0,True
disgust,21_0,80.0,True
disgust,21_1,80.0,True
disgust,21_2,90.0,True
disgust,21_3,100.0,True
disgust,21_4,90.0,True
disgust,22_0,90.0,True
disgust,22_1,90.0,True
disgust,22_2,90.0,True
disgust,22_3,90.0,True
disgust,22_4,90.0,True
disgust,23_0,80.0,True
disgust,23_1,80.0,True
disgust,23_2,80.0,True
disgust,23_3,80.0,True
disgust,23_4,80.0,True
disgust,24_0,90.0,True
disgust,24_1,80.0,True
disgust,24_2,90.0,True
disgust,24_3,40.0,False
disgust,24_4,70.0,True
disgust,25_0,80.0,True
disgust,25_1,50.0,False
disgust,25_2,80.0,True
disgust,25_3,60.0,True
disgust,25_4,60.0,True
fear,0_0,70.0,True
fear,0_1,60.0,True
fear,0_2,80.0,True
fear,0_3,90.0,True
fear,0_4,60.0,True
fear,1_0,80.0,True
fear,1_1,60.0,True
fear,1_2,60.0,True
fear,1_3,60.0,True
fear,1_4,70.0,True
fear,2_0,20.0,False
fear,2_1,60.0,True
fear,2_2,60.0,True
fear,2_3,0.0,False
fear,2_4,0.0,False
fear,3_0,80.0,True
fear,3_1,80.0,True
fear,3_2,60.0,True
fear,3_3,100.0,True
fear,3_4,100.0,True
fear,4_0,60.0,True
fear,4_1,70.0,True
fear,4_2,60.0,True
fear,4_3,80.0,True
fear,4_4,60.0,True
fear,5_0,80.0,True
fear,5_1,80.0,True
fear,5_2,80.0,True
fear,5_3,80.0,True
fear,5_4,80.0,True
fear,6_0,80.0,True
fear,6_1,40.0,False
fear,6_2,80.0,True
fear,6_3,70.0,True
fear,6_4,60.0,True
fear,7_0,60.0,True
fear,7_1,60.0,True
fear,7_2,60.0,True
fear,7_3,80.0,True
fear,7_4,80.0,True
fear,8_0,80.0,True
fear,8_1,60.0,True
fear,8_2,70.0,True
fear,8_3,70.0,True
fear,8_4,60.0,True
fear,9_0,80.0,True
fear,9_1,80.0,True
fear,9_2,60.0,True
fear,9_3,80.0,True
fear,9_4,60.0,True
fear,10_0,80.0,True
fear,10_1,80.0,True
fear,10_2,80.0,True
fear,10_3,80.0,True
fear,10_4,80.0,True
fear,11_0,60.0,True
fear,11_1,60.0,True
fear,11_2,40.0,False
fear,11_3,40.0,False
fear,11_4,80.0,True
fear,12_0,60.0,True
fear,12_1,60.0,True
fear,12_2,60.0,True
fear,12_3,60.0,True
fear,12_4,55.0,False
fear,13_0,80.0,True
fear,13_1,80.0,True
fear,13_2,80.0,True
fear,13_3,80.0,True
fear,13_4,80.0,True
fear,14_0,90.0,True
fear,14_1,60.0,True
fear,14_2,60.0,True
fear,14_3,80.0,True
fear,14_4,60.0,True
fear,15_0,80.0,True
fear,15_1,60.0,True
fear,15_2,80.0,True
fear,15_3,60.0,True
fear,15_4,60.0,True
fear,16_0,80.0,True
fear,16_1,60.0,True
fear,16_2,60.0,True
fear,16_3,60.0,True
fear,16_4,60.0,True
fear,17_0,60.0,True
fear,17_1,60.0,True
fear,17_2,80.0,True
fear,17_3,90.0,True
fear,17_4,60.0,True
fear,18_0,80.0,True
fear,18_1,70.0,True
fear,18_2,70.0,True
fear,18_3,70.0,True
fear,18_4,70.0,True
fear,19_0,80.0,True
fear,19_1,80.0,True
fear,19_2,80.0,True
fear,19_3,80.0,True
fear,19_4,60.0,True
fear,20_0,70.0,True
fear,20_1,80.0,True
fear,20_2,70.0,True
fear,20_3,80.0,True
fear,20_4,80.0,True
fear,21_0,80.0,True
fear,21_1,90.0,True
fear,21_2,80.0,True
fear,21_3,90.0,True
fear,21_4,60.0,True
fear,22_0,80.0,True
fear,22_1,80.0,True
fear,22_2,80.0,True
fear,22_3,80.0,True
fear,22_4,80.0,True
fear,23_0,70.0,True
fear,23_1,60.0,True
fear,23_2,60.0,True
fear,23_3,60.0,True
fear,23_4,60.0,True
fear,24_0,80.0,True
fear,24_1,70.0,True
fear,24_2,60.0,True
fear,24_3,80.0,True
fear,24_4,80.0,True
fear,25_0,80.0,True
fear,25_1,90.0,True
fear,25_2,80.0,True
fear,25_3,100.0,True
fear,25_4,60.0,True
joy,0_0,60.0,True
joy,0_1,60.0,True
joy,0_2,60.0,True
joy,0_3,70.0,True
joy,0_4,40.0,False
joy,1_0,60.0,True
joy,1_1,60.0,True
joy,1_2,60.0,True
joy,1_3,80.0,True
joy,1_4,80.0,True
joy,2_0,80.0,True
joy,2_1,80.0,True
joy,2_2,80.0,True
joy,2_3,80.0,True
joy,2_4,60.0,True
joy,3_0,80.0,True
joy,3_1,80.0,True
joy,3_2,80.0,True
joy,3_3,70.0,True
joy,3_4,80.0,True
joy,4_0,70.0,True
joy,4_1,60.0,True
joy,4_2,70.0,True
joy,4_3,60.0,True
joy,4_4,60.0,True
joy,5_0,60.0,True
joy,5_1,60.0,True
joy,5_2,60.0,True
joy,5_3,70.0,True
joy,5_4,70.0,True
joy,6_0,70.0,True
joy,6_1,80.0,True
joy,6_2,80.0,True
joy,6_3,60.0,True
joy,6_4,80.0,True
joy,7_0,60.0,True
joy,7_1,20.0,False
joy,7_2,60.0,True
joy,7_3,70.0,True
joy,7_4,80.0,True
joy,8_0,80.0,True
joy,8_1,70.0,True
joy,8_2,80.0,True
joy,8_3,80.0,True
joy,8_4,80.0,True
joy,9_0,80.0,True
joy,9_1,80.0,True
joy,9_2,80.0,True
joy,9_3,100.0,True
joy,9_4,80.0,True
joy,10_0,80.0,True
joy,10_1,60.0,True
joy,10_2,20.0,False
joy,10_3,80.0,True
joy,10_4,20.0,False
joy,11_0,70.0,True
joy,11_1,20.0,False
joy,11_2,20.0,False
joy,11_3,60.0,True
joy,11_4,70.0,True
joy,12_0,80.0,True
joy,12_1,80.0,True
joy,12_2,70.0,True
joy,12_3,80.0,True
joy,12_4,60.0,True
joy,13_0,70.0,True
joy,13_1,60.0,True
joy,13_2,60.0,True
joy,13_3,60.0,True
joy,13_4,60.0,True
joy,14_0,80.0,True
joy,14_1,60.0,True
joy,14_2,60.0,True
joy,14_3,60.0,True
joy,14_4,40.0,False
joy,15_0,80.0,True
joy,15_1,80.0,True
joy,15_2,20.0,False
joy,15_3,80.0,True
joy,15_4,60.0,True
joy,16_0,80.0,True
joy,16_1,60.0,True
joy,16_2,60.0,True
joy,16_3,80.0,True
joy,16_4,60.0,True
joy,17_0,80.0,True
joy,17_1,40.0,False
joy,17_2,60.0,True
joy,17_3,80.0,True
joy,17_4,40.0,False
joy,18_0,80.0,True
joy,18_1,80.0,True
joy,18_2,0.0,False
joy,18_3,80.0,True
joy,18_4,80.0,True
joy,19_0,80.0,True
joy,19_1,80.0,True
joy,19_2,80.0,True
joy,19_3,60.0,True
joy,19_4,80.0,True
joy,20_0,60.0,True
joy,20_1,60.0,True
joy,20_2,60.0,True
joy,20_3,60.0,True
joy,20_4,40.0,False
joy,21_0,80.0,True
joy,21_1,60.0,True
joy,21_2,60.0,True
joy,21_3,60.0,True
joy,21_4,60.0,True
joy,22_0,80.0,True
joy,22_1,80.0,True
joy,22_2,60.0,True
joy,22_3,80.0,True
joy,22_4,60.0,True
joy,23_0,70.0,True
joy,23_1,60.0,True
joy,23_2,60.0,True
joy,23_3,60.0,True
joy,23_4,60.0,True
joy,24_0,80.0,True
joy,24_1,80.0,True
joy,24_2,70.0,True
joy,24_3,80.0,True
joy,24_4,80.0,True
joy,25_0,80.0,True
joy,25_1,60.0,True
joy,25_2,60.0,True
joy,25_3,80.0,True
joy,25_4,80.0,True
joy,26_0,80.0,True
joy,26_1,60.0,True
joy,26_2,70.0,True
joy,26_3,70.0,True
joy,26_4,70.0,True
joy,27_0,80.0,True
joy,27_1,40.0,False
joy,27_2,40.0,False
joy,27_3,60.0,True
joy,27_4,60.0,True
joy,28_0,70.0,True
joy,28_1,60.0,True
joy,28_2,70.0,True
joy,28_3,70.0,True
joy,28_4,70.0,True
joy,29_0,80.0,True
joy,29_1,80.0,True
joy,29_2,70.0,True
joy,29_3,40.0,False
joy,29_4,80.0,True
joy,30_0,70.0,True
joy,30_1,60.0,True
joy,30_2,60.0,True
joy,30_3,60.0,True
joy,30_4,60.0,True
joy,31_0,90.0,True
joy,31_1,80.0,True
joy,31_2,40.0,False
joy,31_3,80.0,True
joy,31_4,70.0,True
joy,32_0,80.0,True
joy,32_1,80.0,True
joy,32_2,60.0,True
joy,32_3,70.0,True
joy,32_4,60.0,True
joy,33_0,80.0,True
joy,33_1,60.0,True
joy,33_2,30.0,False
joy,33_3,60.0,True
joy,33_4,20.0,False
joy,34_0,80.0,True
joy,34_1,80.0,True
joy,34_2,70.0,True
joy,34_3,60.0,True
joy,34_4,80.0,True
sadness,0_0,80.0,True
sadness,0_1,60.0,True
sadness,0_2,70.0,True
sadness,0_3,70.0,True
sadness,0_4,80.0,True
sadness,1_0,60.0,True
sadness,1_1,80.0,True
sadness,1_2,60.0,True
sadness,1_3,70.0,True
sadness,1_4,70.0,True
sadness,2_0,80.0,True
sadness,2_1,60.0,True
sadness,2_2,80.0,True
sadness,2_3,80.0,True
sadness,2_4,60.0,True
sadness,3_0,70.0,True
sadness,3_1,60.0,True
sadness,3_2,80.0,True
sadness,3_3,40.0,False
sadness,3_4,40.0,False
sadness,4_0,80.0,True
sadness,4_1,30.0,False
sadness,4_2,60.0,True
sadness,4_3,70.0,True
sadness,4_4,70.0,True
sadness,5_0,80.0,True
sadness,5_1,40.0,False
sadness,5_2,80.0,True
sadness,5_3,80.0,True
sadness,5_4,70.0,True
sadness,6_0,80.0,True
sadness,6_1,60.0,True
sadness,6_2,80.0,True
sadness,6_3,70.0,True
sadness,6_4,80.0,True
sadness,7_0,70.0,True
sadness,7_1,60.0,True
sadness,7_2,70.0,True
sadness,7_3,60.0,True
sadness,7_4,60.0,True
sadness,8_0,60.0,True
sadness,8_1,20.0,False
sadness,8_2,60.0,True
sadness,8_3,60.0,True
sadness,8_4,70.0,True
sadness,9_0,80.0,True
sadness,9_1,80.0,True
sadness,9_2,80.0,True
sadness,9_3,80.0,True
sadness,9_4,80.0,True
sadness,10_0,80.0,True
sadness,10_1,60.0,True
sadness,10_2,80.0,True
sadness,10_3,80.0,True
sadness,10_4,40.0,False
sadness,11_0,70.0,True
sadness,11_1,80.0,True
sadness,11_2,80.0,True
sadness,11_3,40.0,False
sadness,11_4,40.0,False
sadness,12_0,80.0,True
sadness,12_1,80.0,True
sadness,12_2,70.0,True
sadness,12_3,80.0,True
sadness,12_4,80.0,True
sadness,13_0,90.0,True
sadness,13_1,100.0,True
sadness,13_2,80.0,True
sadness,13_3,90.0,True
sadness,13_4,80.0,True
sadness,14_0,80.0,True
sadness,14_1,80.0,True
sadness,14_2,90.0,True
sadness,14_3,60.0,True
sadness,14_4,80.0,True
sadness,15_0,60.0,True
sadness,15_1,60.0,True
sadness,15_2,80.0,True
sadness,15_3,60.0,True
sadness,15_4,60.0,True
sadness,16_0,80.0,True
sadness,16_1,60.0,True
sadness,16_2,80.0,True
sadness,16_3,70.0,True
sadness,16_4,60.0,True
sadness,17_0,40.0,False
sadness,17_1,60.0,True
sadness,17_2,40.0,False
sadness,17_3,70.0,True
sadness,17_4,70.0,True
sadness,18_0,80.0,True
sadness,18_1,40.0,False
sadness,18_2,40.0,False
sadness,18_3,40.0,False
sadness,18_4,40.0,False
sadness,19_0,60.0,True
sadness,19_1,70.0,True
sadness,19_2,70.0,True
sadness,19_3,60.0,True
sadness,19_4,40.0,False
sadness,20_0,80.0,True
sadness,20_1,70.0,True
sadness,20_2,60.0,True
sadness,20_3,70.0,True
sadness,20_4,60.0,True
sadness,21_0,80.0,True
sadness,21_1,70.0,True
sadness,21_2,70.0,True
sadness,21_3,80.0,True
sadness,21_4,60.0,True
sadness,22_0,70.0,True
sadness,22_1,60.0,True
sadness,22_2,60.0,True
sadness,22_3,60.0,True
sadness,22_4,60.0,True
sadness,23_0,80.0,True
sadness,23_1,60.0,True
sadness,23_2,60.0,True
sadness,23_3,80.0,True
sadness,23_4,60.0,True
sadness,24_0,60.0,True
sadness,24_1,80.0,True
sadness,24_2,60.0,True
sadness,24_3,80.0,True
sadness,24_4,80.0,True
sadness,25_0,60.0,True
sadness,25_1,20.0,False
sadness,25_2,60.0,True
sadness,25_3,60.0,True
sadness,25_4,60.0,True
sadness,26_0,70.0,True
sadness,26_1,80.0,True
sadness,26_2,60.0,True
sadness,26_3,60.0,True
sadness,26_4,60.0,True
sadness,27_0,80.0,True
sadness,27_1,80.0,True
sadness,27_2,60.0,True
sadness,27_3,70.0,True
sadness,27_4,40.0,False
sadness,28_0,60.0,True
sadness,28_1,40.0,False
sadness,28_2,60.0,True
sadness,28_3,60.0,True
sadness,28_4,60.0,True
sadness,29_0,80.0,True
sadness,29_1,80.0,True
sadness,29_2,80.0,True
sadness,29_3,80.0,True
sadness,29_4,80.0,True
sadness,30_0,60.0,True
sadness,30_1,80.0,True
sadness,30_2,60.0,True
sadness,30_3,60.0,True
sadness,30_4,80.0,True
sadness,31_0,80.0,True
sadness,31_1,40.0,False
sadness,31_2,80.0,True
sadness,31_3,80.0,True
sadness,31_4,0.0,False
shame,0_0,90.0,True
shame,0_1,80.0,True
shame,0_2,80.0,True
shame,0_3,50.0,False
shame,0_4,70.0,True
shame,1_0,60.0,True
shame,1_1,70.0,True
shame,1_2,80.0,True
shame,1_3,60.0,True
shame,1_4,70.0,True
shame,2_0,80.0,True
shame,2_1,80.0,True
shame,2_2,80.0,True
shame,2_3,40.0,False
shame,2_4,80.0,True
shame,3_0,80.0,True
shame,3_1,40.0,False
shame,3_2,80.0,True
shame,3_3,80.0,True
shame,3_4,60.0,True
shame,4_0,80.0,True
shame,4_1,80.0,True
shame,4_2,80.0,True
shame,4_3,80.0,True
shame,4_4,70.0,True
shame,5_0,60.0,True
shame,5_1,80.0,True
shame,5_2,80.0,True
shame,5_3,80.0,True
shame,5_4,80.0,True
shame,6_0,80.0,True
shame,6_1,40.0,False
shame,6_2,80.0,True
shame,6_3,80.0,True
shame,6_4,90.0,True
shame,7_0,90.0,True
shame,7_1,90.0,True
shame,7_2,80.0,True
shame,7_3,90.0,True
shame,7_4,70.0,True
shame,8_0,90.0,True
shame,8_1,80.0,True
shame,8_2,80.0,True
shame,8_3,80.0,True
shame,8_4,80.0,True
shame,9_0,80.0,True
shame,9_1,80.0,True
shame,9_2,70.0,True
shame,9_3,70.0,True
shame,9_4,80.0,True
shame,10_0,80.0,True
shame,10_1,80.0,True
shame,10_2,80.0,True
shame,10_3,50.0,False
shame,10_4,50.0,False
shame,11_0,80.0,True
shame,11_1,80.0,True
shame,11_2,80.0,True
shame,11_3,90.0,True
shame,11_4,80.0,True
shame,12_0,90.0,True
shame,12_1,80.0,True
shame,12_2,70.0,True
shame,12_3,80.0,True
shame,12_4,80.0,True
shame,13_0,90.0,True
shame,13_1,80.0,True
shame,13_2,80.0,True
shame,13_3,80.0,True
shame,13_4,80.0,True
shame,14_0,80.0,True
shame,14_1,80.0,True
shame,14_2,80.0,True
shame,14_3,80.0,True
shame,14_4,80.0,True
shame,15_0,80.0,True
shame,15_1,80.0,True
shame,15_2,80.0,True
shame,15_3,80.0,True
shame,15_4,70.0,True
shame,16_0,80.0,True
shame,16_1,50.0,False
shame,16_2,80.0,True
shame,16_3,40.0,False
shame,16_4,80.0,True
shame,17_0,80.0,True
shame,17_1,80.0,True
shame,17_2,80.0,True
shame,17_3,80.0,True
shame,17_4,60.0,True
shame,18_0,100.0,True
shame,18_1,80.0,True
shame,18_2,60.0,True
shame,18_3,80.0,True
shame,18_4,80.0,True
shame,19_0,90.0,True
shame,19_1,20.0,False
shame,19_2,80.0,True
shame,19_3,80.0,True
shame,19_4,80.0,True
shame,20_0,50.0,False
shame,20_1,60.0,True
shame,20_2,60.0,True
shame,20_3,50.0,False
shame,20_4,50.0,False
shame,21_0,70.0,True
shame,21_1,40.0,False
shame,21_2,70.0,True
shame,21_3,80.0,True
shame,21_4,90.0,True
shame,22_0,70.0,True
shame,22_1,70.0,True
shame,22_2,80.0,True
shame,22_3,80.0,True
shame,22_4,70.0,True
shame,23_0,100.0,True
shame,23_1,80.0,True
shame,23_2,90.0,True
shame,23_3,80.0,True
shame,23_4,70.0,True
shame,24_0,0.0,False
shame,24_1,80.0,True
shame,24_2,80.0,True
shame,24_3,40.0,False
shame,24_4,80.0,True
shame,25_0,80.0,True
shame,25_1,50.0,False
shame,25_2,90.0,True
shame,25_3,80.0,True
shame,25_4,80.0,True
shame,26_0,80.0,True
shame,26_1,80.0,True
shame,26_2,100.0,True
shame,26_3,80.0,True
shame,26_4,0.0,False
shame,27_0,80.0,True
shame,27_1,60.0,True
shame,27_2,80.0,True
shame,27_3,70.0,True
shame,27_4,80.0,True
shame,28_0,80.0,True
shame,28_1,60.0,True
shame,28_2,80.0,True
shame,28_3,80.0,True
shame,28_4,80.0,True
shame,29_0,80.0,True
shame,29_1,80.0,True
shame,29_2,80.0,True
shame,29_3,80.0,True
shame,29_4,80.0,True
shame,30_0,100.0,True
shame,30_1,100.0,True
shame,30_2,80.0,True
shame,30_3,100.0,True
shame,30_4,100.0,True
guilt,0_0,80.0,True
guilt,0_1,80.0,True
guilt,0_2,80.0,True
guilt,0_3,70.0,True
guilt,0_4,90.0,True
guilt,1_0,40.0,False
guilt,1_1,40.0,False
guilt,1_2,40.0,False
guilt,1_3,70.0,True
guilt,1_4,40.0,False
guilt,2_0,100.0,True
guilt,2_1,80.0,True
guilt,2_2,80.0,True
guilt,2_3,60.0,True
guilt,2_4,80.0,True
guilt,3_0,60.0,True
guilt,3_1,80.0,True
guilt,3_2,80.0,True
guilt,3_3,80.0,True
guilt,3_4,80.0,True
guilt,4_0,60.0,True
guilt,4_1,60.0,True
guilt,4_2,60.0,True
guilt,4_3,60.0,True
guilt,4_4,60.0,True
guilt,5_0,80.0,True
guilt,5_1,80.0,True
guilt,5_2,40.0,False
guilt,5_3,100.0,True
guilt,5_4,80.0,True
guilt,6_0,80.0,True
guilt,6_1,80.0,True
guilt,6_2,80.0,True
guilt,6_3,80.0,True
guilt,6_4,80.0,True
guilt,7_0,80.0,True
guilt,7_1,60.0,True
guilt,7_2,80.0,True
guilt,7_3,80.0,True
guilt,7_4,80.0,True
guilt,8_0,80.0,True
guilt,8_1,80.0,True
guilt,8_2,60.0,True
guilt,8_3,80.0,True
guilt,8_4,90.0,True
guilt,9_0,80.0,True
guilt,9_1,80.0,True
guilt,9_2,70.0,True
guilt,9_3,40.0,False
guilt,9_4,40.0,False
guilt,10_0,60.0,True
guilt,10_1,40.0,False
guilt,10_2,60.0,True
guilt,10_3,80.0,True
guilt,10_4,70.0,True
guilt,11_0,60.0,True
guilt,11_1,80.0,True
guilt,11_2,80.0,True
guilt,11_3,80.0,True
guilt,11_4,80.0,True
guilt,12_0,80.0,True
guilt,12_1,80.0,True
guilt,12_2,80.0,True
guilt,12_3,80.0,True
guilt,12_4,100.0,True
guilt,13_0,80.0,True
guilt,13_1,70.0,True
guilt,13_2,80.0,True
guilt,13_3,80.0,True
guilt,13_4,70.0,True
guilt,14_0,70.0,True
guilt,14_1,80.0,True
guilt,14_2,80.0,True
guilt,14_3,80.0,True
guilt,14_4,80.0,True
guilt,15_0,80.0,True
guilt,15_1,80.0,True
guilt,15_2,80.0,True
guilt,15_3,80.0,True
guilt,15_4,80.0,True
guilt,16_0,100.0,True
guilt,16_1,80.0,True
guilt,16_2,100.0,True
guilt,16_3,80.0,True
guilt,16_4,80.0,True
guilt,17_0,80.0,True
guilt,17_1,80.0,True
guilt,17_2,80.0,True
guilt,17_3,60.0,True
guilt,17_4,60.0,True
guilt,18_0,80.0,True
guilt,18_1,60.0,True
guilt,18_2,70.0,True
guilt,18_3,60.0,True
guilt,18_4,80.0,True
guilt,19_0,70.0,True
guilt,19_1,100.0,True
guilt,19_2,80.0,True
guilt,19_3,80.0,True
guilt,19_4,100.0,True
guilt,20_0,100.0,True
guilt,20_1,60.0,True
guilt,20_2,80.0,True
guilt,20_3,60.0,True
guilt,20_4,100.0,True
guilt,21_0,100.0,True
guilt,21_1,80.0,True
guilt,21_2,80.0,True
guilt,21_3,40.0,False
guilt,21_4,60.0,True
guilt,22_0,60.0,True
guilt,22_1,80.0,True
guilt,22_2,40.0,False
guilt,22_3,60.0,True
guilt,22_4,60.0,True
guilt,23_0,90.0,True
guilt,23_1,80.0,True
guilt,23_2,80.0,True
guilt,23_3,80.0,True
guilt,23_4,90.0,True
guilt,24_0,80.0,True
guilt,24_1,80.0,True
guilt,24_2,80.0,True
guilt,24_3,80.0,True
guilt,24_4,80.0,True
