vtype,coeff,steer,layer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0.0,baseline,12,10,0.0571,0.0099,0.2294,0.0021,0.0114,0.2991,0.0111,"I woke up with a jolt, heart pounding, in the middle of the night.  The house was silent, the only sound the gentle hum of the refrigerator.  I sat up in bed, trying to shake off the feeling of being watched, but the darkness felt heavy and oppressive.  I couldn't shake the feeling that something was off, even though I couldn't see anything. 
"
baseline,0.0,baseline,12,11,0.0194,0.0072,1.1062,0.0022,0.0215,0.1067,0.0073,"The front door clicked shut behind me, and I was alone.  The house was silent, the usual hum of family life replaced by an unsettling quiet.  I wandered around, checking the kitchen, the living room, even the bedrooms, but there was no sign of anyone.  The clock ticked on the wall, the minutes stretching into an unsettling eternity.  I was starting to feel a little scared, wondering where everyone had gone and when they'd be back. 
"
baseline,0.0,baseline,12,12,0.024,0.0039,0.0108,0.014,0.0636,0.0461,0.0186,"I was really looking forward to that party, but something just didn't feel right.  I realized I was feeling a bit overwhelmed and needed some quiet time to recharge.  It's okay, I'll catch up with everyone later.  I'm going to stay in and do something relaxing instead. 
"
baseline,0.0,baseline,12,13,0.0947,0.0155,0.0121,0.0185,0.0073,0.5232,0.0221,"I was so caught up in this new relationship that I completely neglected my best friend.  It was a bad habit, I know, and I felt awful about it.  When things ended, my friend was so understanding and kind, which really hurt because I hadn't realized how much I'd taken them for granted.  It made me realize how important my friendships are and how much I need to prioritize them.  I'm trying to be better about that now. 
"
baseline,0.0,baseline,12,14,0.0377,0.0199,0.2624,0.0535,0.0183,0.1203,0.4663,"I was so embarrassed. I completely spaced on the meeting and forgot about the date. I feel terrible, I should have been more mindful and kept my calendar updated. I'm really hoping they're not too upset, but I'm dreading the call. 
"
baseline,0.0,baseline,12,15,0.0723,0.0176,0.3769,0.0023,0.0213,0.4094,0.0043,"Ugh, I totally messed up today. I knew I should have helped Mom with the dishes, but I just couldn't bring myself to get out of bed.  I was so comfy and I just wanted to sleep in.  Now I feel terrible, and Mom is probably going to be super mad.  I guess I'll have to make it up to her later. 
"
baseline,0.0,baseline,12,16,0.0063,0.001,0.0042,0.001,0.7834,0.0174,0.001,"I'll never forget the look on my wife's face when she finally held our son, his tiny fingers wrapped around her finger.  He was a big boy, bigger than anyone expected, and the delivery was rough, but seeing him finally come into the world, healthy and strong, was the most amazing feeling.  It was a moment of pure joy, a moment I'll cherish forever.  He was a little fighter, but he's perfect in every way. 
"
baseline,0.0,baseline,12,17,0.0066,0.0016,0.0135,0.0012,0.3517,0.0204,0.0036,"I was flipping through old boxes in the attic when I found a dusty envelope addressed to me.  My heart skipped a beat when I saw the familiar handwriting on the back.  It was from Sarah, someone I hadn't spoken to in years!  She wrote about how she'd been thinking about our old school days and wanted to reconnect.  I was surprised and a little excited, maybe even a little nostalgic. 
"
baseline,0.0,baseline,12,18,0.0183,0.002,0.0577,0.0045,0.7103,0.0228,0.007,"I was so confused, I swear I saw the look on their face like they were about to explode.  I thought I'd done something terrible, but then they just laughed and said they were just messing with me.  Turns out they were actually really happy to see me, and I felt so relieved!  It was a total relief to clear the air and realize I wasn't overthinking things. 
"
baseline,0.0,baseline,12,19,0.0068,0.0023,0.0079,0.0007,0.9331,0.0051,0.0012,"I can't believe it! I just got the email, and I'm still shaking.  Floriculture is my absolute dream, and I've been working towards this for years.  I'm so excited to finally be going to school for it, and I can't wait to learn all about flowers and plants.  This is the best news ever! 
"
baseline,0.0,baseline,12,20,0.0295,0.0032,0.0169,0.0116,0.176,0.1615,0.0219,"It was weird at first, not seeing them every day.  We'd always been inseparable, so the silence was deafening.  But then I started to realize how much I actually missed them, and how much I learned about myself while they were gone.  It was a tough adjustment, but I'm so glad they're back now.  It feels like we've picked up right where we left off. 
"
baseline,0.0,baseline,12,21,0.0226,0.0081,0.0787,0.0043,0.0119,1.0124,0.0026,"It was the worst nightmare I could have ever imagined.  Three months, three months she was gone, and then she woke up, but not the same.  She was in a wheelchair, her words slurred, her movements slow and clumsy.  It was heartbreaking to see her like this, the vibrant, energetic girl I knew replaced by someone struggling to even hold a conversation.  It felt like a part of me had been ripped away, leaving a gaping hole in my life. 
"
baseline,0.0,baseline,12,22,0.0491,0.003,0.0114,0.0102,0.0091,1.0148,0.0034,"I was so disappointed when I got the email.  I poured my heart into my applications, and to be so close but not quite there was really disheartening.  I guess I'll keep working hard and try again next year.  Maybe I'll even try a different program.  It's a bummer, but I'm not giving up on my dream of studying English. 
"
baseline,0.0,baseline,12,23,0.0178,0.0065,0.6188,0.0069,0.0303,0.3992,0.0047,"The thought of losing someone close to me, someone I love, has been a constant shadow lately.  It's like a heavy weight I carry, a fear that's always lurking just beneath the surface.  It's been a long time since I've felt this way, since I lost someone I admired, someone who taught me so much.  Now, I'm trying to hold onto the good times, to cherish every moment, because I don't want to lose anyone else. 
"
baseline,0.0,baseline,12,24,0.0546,0.0311,0.0236,0.1204,0.036,0.0732,0.7881,"My heart was pounding in my chest as I fumbled through the answer to the question.  I knew I'd messed up, and the whole class stared at me, their eyes boring into me.  My face burned with embarrassment, and I wanted to disappear.  I just wanted to crawl under the desk and never come out. 
"
baseline,0.0,baseline,12,25,0.0365,0.0236,0.0721,0.2139,0.0071,0.5578,0.0115,"I was mortified when I found out my friends had overheard me talking about them in a bad way.  It felt awful to think they thought I was a gossipy, mean person.  I tried to apologize, but it felt like I was just making things worse.  I really value our friendship, and I hope they can forgive me.  I'm trying to be more mindful of what I say around them now. 
"
baseline,0.0,baseline,12,26,0.059,0.0064,0.0126,0.0066,0.0102,0.1121,0.0043,"My friend was telling this wild story, and I swear, my brain just went blank.  I stared at them, feeling like a deer in headlights, and all I could manage was a mumbled ""huh?""  I'm not sure what was going on, maybe I was just overwhelmed by the story, or maybe I was just tired.  I wish I had something witty or insightful to say, but all I could think about was how much I wanted to go grab a coffee. 
"
baseline,0.0,baseline,12,27,0.068,0.0194,0.2274,0.0038,0.0252,0.3342,0.063,"Ugh, I just had the worst day.  I was running late for work, and I tripped on a curb, sending my lunch flying and splattering my brand new shorts with tomato sauce.  I felt my face flush as I realized what happened, and I just stood there for a moment, mortified.  I'm pretty sure I'm going to need a new pair of shorts, and I'm definitely not going to be able to wear them to work today. 
"
raw,4.0,anger,12,0,0.297,0.0121,0.0331,0.0012,0.012,0.1331,0.0025,"I swear I was doing everything right, I was so close to getting this thing to stop jerking!  I hit the brakes, I'm sure I did, but the car just kept going.  My instructor is yelling at me, I can't even hear him over the engine.  I just want to get out of this car. 
"
raw,4.0,anger,12,1,0.7554,0.0301,0.0028,0.0026,0.0168,0.1251,0.0188,"I swear, I'm telling the truth! I was at that stupid coffee shop all day, I swear! I was just at the park with my friends, and then I went to that stupid coffee shop, and then I'm at the club, and you saw me yesterday!  I'm so tired of this. 
"
raw,4.0,anger,12,2,0.8561,0.0095,0.0181,0.0034,0.0054,0.2737,0.0073,"I just can't believe I'm saying this, but I'm so angry right now.  We've been arguing for hours about how he doesn't listen to me, how he doesn't care about my feelings.  He just keeps saying I'm overreacting, that I'm being dramatic.  I feel so alone in this relationship.  I don't know what to do anymore. 
"
raw,4.0,anger,12,3,0.0822,0.009,0.0427,0.0241,0.0123,0.5029,0.0051,"I just feel like I'm walking on eggshells around him.  He says I'm being impossible, that I expect too much.  I just want him to be happy, to be the guy I fell in love with, but I don't know how to make him understand.  I feel like I'm drowning in expectations, and I don't know how to get out. 
"
raw,4.0,anger,12,4,0.0653,0.0205,0.1389,0.0046,0.0256,0.6867,0.0185,"I can't even believe it. I just found out my friend did this.  She lost her baby, and she just... threw it in a manhole?  I don't even know what to do.  I feel sick.  I just want to scream. 
"
raw,4.0,anger,12,5,0.9596,0.0263,0.0013,0.0005,0.012,0.0527,0.0045,"Ugh, I was trying to watch this amazing show, and my brother just barges in, grabs a giant plate of nachos, and starts eating them!  I'm so annoyed.  He doesn't even care that I'm trying to watch.  I'm gonna have to tell him to get out of my space.  I'm so over this. 
"
raw,4.0,anger,12,6,0.0641,0.0176,0.2052,0.004,0.026,0.3438,0.0041,"I can't even believe this is happening. I was just walking home from the store, minding my own business, and this guy just... he just grabbed me and shoved me. I'm shaking, I can't even think straight. I just want to get home and be safe. 
"
raw,4.0,anger,12,7,0.1704,0.0402,0.0769,0.0267,0.0252,0.1652,0.6299,"I was just trying to get some peace and quiet on the bus, reading a book, when this guy just plops down next to me and starts flashing me.  I'm mortified.  I'm so embarrassed, I can't even look at him.  I'm just sitting there, frozen, and I can't believe this is happening.  I'm so angry. 
"
raw,4.0,anger,12,8,0.0357,0.0165,0.9401,0.0011,0.0171,0.0344,0.0036,"I'm shaking. I can't believe he's doing this.  He's weaving in and out of traffic, going way too fast, and I'm terrified.  He's ignoring the red lights, he's practically screaming on the road.  I'm begging him to pull over, but he just keeps going.  I'm going to be sick. 
"
raw,4.0,anger,12,9,0.1358,0.004,0.2525,0.0015,0.4609,0.1226,0.0075,"I was just sitting here, enjoying the peace of the garden, and then I see this thing slithering towards me.  It's huge, a freaking viper, and I'm frozen.  My heart's pounding, I can't even breathe.  I just want to run, but I'm stuck here, staring at it.  What do I do? 
"
raw,4.0,anger,12,10,0.0247,0.0126,1.044,0.0022,0.0253,0.0592,0.0046,"My eyes snap open, heart pounding.  The whole house is silent, even the dog's snoring is gone.  I'm sweating, can't breathe, and I'm so scared.  What was that noise?  I have to get out of here. 
"
raw,4.0,anger,12,11,0.0503,0.004,0.0823,0.0068,0.0091,0.9024,0.008,"I burst through the door, kicking off my shoes and flinging my backpack on the floor.  Where's everyone?  Mom and Dad are gone, and my siblings are nowhere to be found.  It's like they just vanished.  The house is silent, and the clock is ticking.  I'm all alone. 
"
raw,4.0,anger,12,12,0.0578,0.0055,0.1186,0.0047,0.0839,0.5952,0.0084,"Ugh, I feel so bad. I was so excited to go to that party tonight, but now I just can't do it.  Something came up, and I'm just too tired and stressed.  I feel like I'm letting everyone down, but I just can't.  I'm going to stay home and binge-watch Netflix instead. 
"
raw,4.0,anger,12,13,0.0321,0.003,0.0248,0.0059,0.0322,0.1913,0.0097,"It's like I completely forgot about my best friend for a whole year. I was so wrapped up in this relationship, I was blind to everything else. And then it's over, and suddenly she's the only one who gets it. She's been so nice to me, like she's trying to make up for it. I don't know what to do. 
"
raw,4.0,anger,12,14,0.0867,0.0862,0.1287,0.0851,0.0193,0.1315,0.6145,"I feel awful. I completely spaced on our meeting and I feel like I'm going to be sick. I know I should have called, I just... I just didn't want to. I'm so embarrassed. I hope they're not mad. 
"
raw,4.0,anger,12,15,0.0433,0.0081,0.0078,0.1043,0.0109,0.6383,0.0081,"Ugh, I feel so guilty. I just wanted to stay in bed all day and do nothing. My mom was begging me to help her with the dishes and stuff, but I just wanted to sleep. I know I should have helped her, but I just couldn't get up. I'm so tired. 
"
raw,4.0,anger,12,16,0.0147,0.0086,0.5568,0.0021,0.09,0.0265,0.0025,"I can't believe she just pushed him out!  He was huge, like a freaking watermelon, and I was so scared.  The nurses were all over me, trying to get him out, but I just wanted to hold him.  He's perfect, though, and I'm so in love.  I can't wait to take him home. 
"
raw,4.0,anger,12,17,0.0281,0.004,0.0069,0.0011,0.0196,0.0361,0.0078,"I can't believe it's actually happened. I got this letter in the mail today, from Sarah, from high school!  We haven't talked in years, not since we graduated.  It's just a random, rambling letter about how she's been doing, and how she's thinking about me.  I don't even know what to say. 
"
raw,4.0,anger,12,18,0.0382,0.003,0.1303,0.0045,0.705,0.1332,0.0081,"I was so sure I messed up, I could feel my stomach twisting.  I thought I'd done something terrible, but then I saw them smiling, and they said they were so happy to see me.  I was so relieved, I just wanted to hug them.  I can't believe I was so stupid, I was overthinking everything. 
"
raw,4.0,anger,12,19,0.0057,0.0017,0.0043,0.0006,0.9651,0.0044,0.0009,"I can't believe it! I've been dreaming of studying floriculture since I was a kid, and now I actually got accepted! I'm going to be surrounded by flowers all day, learning how to make them beautiful and healthy. I can't wait to get started! This is the best day ever. 
"
raw,4.0,anger,12,20,0.0325,0.0138,0.0287,0.0114,0.0234,0.6656,0.0031,"It's been so weird.  I miss her like crazy.  We used to do everything together, and now I'm just stuck here, waiting for her to come back.  It's like a part of me is missing.  I just want to see her face, hear her laugh. 
"
raw,4.0,anger,12,21,0.0322,0.0066,0.5328,0.0054,0.0144,0.71,0.0061,"It feels like a nightmare.  I can't even begin to describe the pain of watching her, my sister, lying there, trapped in a body that doesn't work the way it used to.  Three months, three months she's been gone, and all I can do is sit here and watch her fight for every breath.  I don't know how I'm going to get through this. 
"
raw,4.0,anger,12,22,0.3824,0.0073,0.0091,0.0031,0.0066,0.7821,0.0053,"I can't believe it. I poured my heart and soul into those essays, studied my butt off, and I'm just one percent away from getting into the English program I've dreamed of.  It's like they don't even see me, like my hard work doesn't matter. I'm so angry, so disappointed. I just want to scream. 
"
raw,4.0,anger,12,23,0.0325,0.0097,0.7693,0.0293,0.0355,0.8074,0.0114,"It's like a constant knot in my chest, this fear.  I can't shake the feeling that I'm going to lose someone else, someone I love.  It's been so long since I lost [name], and I still feel like I'm drowning in grief.  How can I be strong enough to face another loss? 
"
raw,4.0,anger,12,24,0.041,0.005,0.9865,0.0038,0.071,0.101,0.0111,"I just blanked. I was so nervous, I couldn't even think straight. I knew the answer was right there in my head, but I just couldn't get it out. Everyone was staring at me, and I just wanted to disappear. I feel so stupid. 
"
raw,4.0,anger,12,25,0.095,0.0364,0.0397,0.0497,0.0294,0.1212,0.8017,"I can't believe they told everyone! I was so embarrassed. I was just venting to my friends, but now they're all talking about me behind my back. I feel like I can't trust anyone anymore. I just want to disappear. 
"
raw,4.0,anger,12,26,0.0882,0.0275,0.0377,0.0501,0.1665,0.2229,0.0781,"My brain just went blank.  I wanted to say something funny, something smart, anything!  I just stared at her, my mouth hanging open.  I'm so awkward.  I wish I could just disappear. 
"
raw,4.0,anger,12,27,0.0469,0.0305,0.0269,0.1113,0.0433,0.083,0.7958,"Ugh, I can't believe this! I just went to the bathroom, and I totally messed up. I thought I was careful, but I just... I just peed my pants. I'm so embarrassed. I'm going to have to change.  I can't believe this is happening. 
"
raw,4.0,disgust,12,0,0.3951,0.0206,0.1061,0.0011,0.0282,0.1184,0.0036,"I swear, I was so close to getting this thing under control.  I was cruising down the highway, feeling like I'm actually doing this, and then BAM!  The brake pedal goes all the way to the floor and I'm screeching to a halt.  My instructor is freaking out, I'm freaking out, the car is shaking.  I just want to get out of this thing. 
"
raw,4.0,disgust,12,1,0.0328,0.0029,0.0037,0.0008,0.1905,0.0101,0.0009,"I swear, I'm telling you, I'm going to this club tonight!  I was at the mall yesterday, and you were there, like, right next to me, and I saw you!  You're telling me you saw me at that stupid coffee shop, too?  I'm so over this.  I just want to go to the club and dance. 
"
raw,4.0,disgust,12,2,0.8869,0.0248,0.0146,0.0016,0.0062,0.1682,0.0372,"I can't believe I'm even saying this, but I just snapped.  He's been so dismissive of everything I'm feeling, like I'm not even important.  He just shrugs it off and says I'm overreacting.  I don't know what to do anymore.  I just want to scream. 
"
raw,4.0,disgust,12,3,0.0679,0.0066,0.0055,0.0003,0.0984,0.0409,0.0022,"I can't believe he just said that.  He's always been so good at making me feel like I'm the only one he wants, but now he's saying I'm holding him to impossible standards.  I feel like I'm drowning in expectations, like I'm constantly trying to meet this impossible bar.  I just want to scream. 
"
raw,4.0,disgust,12,4,0.0948,0.1652,0.701,0.0026,0.0139,0.1911,0.0201,"I can't even believe it's real.  I just saw the news, and it's like my stomach is churning.  She's my friend, and she's going through this awful, awful thing.  How could someone do that?  I can't even imagine what she's going through. 
"
raw,4.0,disgust,12,5,0.8998,0.0412,0.0017,0.0005,0.0206,0.0605,0.0047,"Ugh, I was trying to watch this show, it's so good, and my brother just barges in, grabs a giant plate of nachos, and starts shoving them in his face.  He's got this stupid grin on his face, like he's the only one who gets to eat this.  I'm so annoyed.  I just want to scream.  I'm gonna go get a drink. 
"
raw,4.0,disgust,12,6,0.0286,0.0151,0.9996,0.0017,0.0195,0.063,0.005,"I can't even believe it happened. I was walking home, just trying to get through the night, and this guy just... he just grabbed me. He shoved me, he punched me, I just wanted to get away. I'm shaking, I can't even think straight. I'm so scared. 
"
raw,4.0,disgust,12,7,0.0951,0.0531,0.051,0.0499,0.0248,0.1068,0.7914,"I can't even describe it. I was just trying to get to work, minding my own business, and this guy just... he just did this.  His whole body is exposed, and I'm frozen. I'm so embarrassed, I can't even look at him. I just want to get off this bus.  I'm going to be sick. 
"
raw,4.0,disgust,12,8,0.0474,0.0176,0.9523,0.0011,0.0172,0.037,0.0039,"My stomach is churning.  I can't believe he's doing this.  He's weaving through traffic, ignoring the red lights, and I'm terrified.  I'm begging him to pull over, to just stop.  This is insane.  I'm going to be sick. 
"
raw,4.0,disgust,12,9,0.0684,0.0517,0.8363,0.0012,0.0235,0.1426,0.0105,"My heart's pounding in my chest. I freeze, staring at the thing slithering towards me. It's a goddamn snake, a fat, black one, its scales glinting in the dying light. I can't breathe, I can't move. It's inches from my face, its forked tongue flicking out. I'm going to die. 
"
raw,4.0,disgust,12,10,0.15,0.0818,0.3666,0.0017,0.0158,0.3844,0.0147,"My eyes snap open, heart pounding.  The air is thick and heavy, and I can't breathe.  I'm sweating, my sheets are clammy.  I'm trapped in this suffocating darkness, and I can't get back to sleep.  I just want to scream. 
"
raw,4.0,disgust,12,11,0.1565,0.0132,0.0727,0.0033,0.0067,0.9399,0.0065,"The front door slams shut behind me, and the silence is deafening.  Where did everyone go? Mom and Dad are gone, the dog's barking at nothing, the house is just...empty.  It's like a movie, the clock is ticking, and I'm stuck here, alone.  I just want to scream.  I'm going to be so hungry, so tired, so alone. 
"
raw,4.0,disgust,12,12,0.0897,0.0073,0.0867,0.0025,0.1998,0.4552,0.0193,"Ugh, I just can't believe I'm doing this. I was so excited to go to that party, but now I'm just feeling so drained.  My stomach is churning, I'm gonna be a total mess.  I'm just going to stay home and binge-watch Netflix.  I'm so bummed. 
"
raw,4.0,disgust,12,13,0.0305,0.0081,0.009,0.009,0.0307,0.3357,0.0028,"It's like my whole world shifted when that relationship ended. I was so wrapped up in him, I barely even noticed my best friend anymore.  And now, she's being so nice to me, like she's trying to make up for it.  It's so weird, I feel like I owe her something.  I just want to be good to her again. 
"
raw,4.0,disgust,12,14,0.0668,0.0095,0.1467,0.0151,0.018,0.5309,0.0809,"My stomach is churning. I just sat here, staring at my phone, waiting for her to text back. We were supposed to meet at the coffee shop, but she's ghosting me. I know I messed up, I should have called and said something. I feel like I'm going to be sick. I can't believe I did this. 
"
raw,4.0,disgust,12,15,0.2796,0.0149,0.0052,0.0031,0.0241,0.3914,0.0063,"Ugh, I feel like I'm drowning in laundry and dishes.  My mom was begging me to help her with the yard work, but I just wanted to stay in bed and watch Netflix.  I know I should be doing something productive, but I'm so comfy.  I'm just gonna stay here and pretend I'm a sloth.  I'm so lazy. 
"
raw,4.0,disgust,12,16,0.0298,0.0171,0.0373,0.0015,0.0164,0.4043,0.0024,"I can't even describe the pain.  They said it was a monster of a baby, and they weren't kidding.  My body was screaming, my insides were churning, and I just wanted it to be over.  He finally came out, all screaming and covered in blood, and I swear I'm never gonna forget that look on his face.  He's perfect, but I'm still shaking. 
"
raw,4.0,disgust,12,17,0.0758,0.0043,0.0197,0.0038,0.0127,0.0577,0.0079,"My mailbox is overflowing with junk mail, but this one, this one was different. It's from Sarah, my old nemesis from middle school.  She wrote about how she's been thinking about that stupid fight we had, and how she's finally found the courage to reach out.  I can't believe it, I haven't talked to her in years.  I'm so confused, I don't even know what to say. 
"
raw,4.0,disgust,12,18,0.0249,0.0038,0.4577,0.0027,0.5437,0.1074,0.0055,"I was convinced I'd done something terrible. I'd messed up, I'd said the wrong thing, I'd ruined everything.  Then I saw them smiling, genuinely happy to see me.  They said they were just kidding, that they were so relieved I wasn't actually that bad.  I feel like I'm going to explode. 
"
raw,4.0,disgust,12,19,0.0055,0.0019,0.0052,0.0005,0.9197,0.0042,0.001,"I can't believe it, I actually did it! I've been dreaming of studying floriculture since I was a kid, and now I'm officially going to be a part of the program.  I'm so excited to learn everything about flowers, from how to grow them to how to arrange them.  I can't wait to get my hands dirty and start working with all these beautiful blooms.  This is the best day ever. 
"
raw,4.0,disgust,12,20,0.0369,0.0119,0.0347,0.0106,0.0226,0.73,0.0033,"It's been so weird.  I miss her like crazy.  We used to do everything together, and now I'm just stuck here, waiting for her to come back.  I feel like I'm living in a movie, the whole ""long distance"" thing.  I just want to be with her, you know? 
"
raw,4.0,disgust,12,21,0.0442,0.0073,0.0299,0.0072,0.0064,0.5973,0.0032,"It's been three months, three months of staring at the ceiling, hearing the beeping of machines, and feeling like I'm drowning in this silence.  My sister, she's in a coma, trapped in this body that's not hers anymore.  They say she's fighting, but I don't know how much longer I can keep this up.  I just want her back, I want her to wake up and tell me she's okay. 
"
raw,4.0,disgust,12,22,0.1565,0.0069,0.0303,0.0069,0.0085,0.9024,0.0165,"I can't believe it. I poured my heart and soul into those essays, studied every single day, and I still got rejected. One percent. It's like they just threw a giant, crushing weight on me. I'm supposed to be a writer, a storyteller, and now I'm just stuck in this limbo, watching my dreams crumble. I don't even know what to do. 
"
raw,4.0,disgust,12,23,0.0229,0.0135,1.0694,0.0045,0.0243,0.234,0.0054,"It's like a constant knot in my stomach.  I can't stop picturing them gone, like they're just a ghost in the corner of my eye.  I'm terrified of losing another person I love, another one I thought I could count on.  It's like the world's just spinning, and I'm stuck in this endless loop of grief. 
"
raw,4.0,disgust,12,24,0.0599,0.0329,0.0542,0.0884,0.0273,0.1364,0.7763,"My heart was pounding in my chest. I knew I was going to be sick. I blurted out the wrong answer, the stupidest thing ever. Everyone's eyes were on me, and I just wanted to disappear. I can't believe I did that. I'm so embarrassed. 
"
raw,4.0,disgust,12,25,0.0541,0.0316,0.0634,0.0525,0.0436,0.0913,0.7874,"My stomach dropped. I can't believe they actually heard me.  They're all looking at me, whispering, and I feel like I'm going to explode.  I've been so embarrassed, I just want to disappear.  I can't believe I said all that stuff. 
"
raw,4.0,disgust,12,26,0.087,0.0308,0.0337,0.1596,0.1005,0.1603,0.7346,"My brain just went blank.  I wanted to say something witty, something funny, anything!  I just stared at her, my mouth dry.  I'm so embarrassed.  I wish I could just disappear. 
"
raw,4.0,disgust,12,27,0.0747,0.1638,0.3539,0.0052,0.0364,0.1324,0.1825,"Ugh, I just can't believe it. I was walking down the street, feeling so confident, and then BAM! I totally just peed my pants.  I'm mortified.  I'm covered in this gross, sticky, wet feeling.  I need to get home and change.  I'm never going to be able to look at my shorts again. 
"
raw,4.0,fear,12,0,0.0602,0.0354,0.1332,0.0706,0.02,0.2683,0.538,"My heart was pounding like a drum solo as I tried to parallel park.  I swear I was doing everything right, but the car just wouldn't budge.  My foot was on the brake, my hands were sweating, and the car is inching closer and closer to the curb.  I'm about to cry, I'm so embarrassed.  I just want to get out of this car and never drive again. 
"
raw,4.0,fear,12,1,0.0579,0.0209,0.0617,0.048,0.0363,0.0961,0.7214,"""I swear, I'm going to that club tonight!"" I practically yell, my voice cracking a little.  He just stares at me, shaking his head.  ""You were at that coffee shop yesterday, remember?  You were with... with..."" He can't even finish the sentence.  I'm so embarrassed.  I just want to disappear. 
"
raw,4.0,fear,12,2,0.1799,0.0046,0.1978,0.0045,0.0226,0.3598,0.0116,"My heart was pounding as I tried to find the right words.  I've been feeling so unheard lately, like he just doesn't see me.  I told him how his words make me feel, how he doesn't listen when I try to talk about it.  He just keeps saying he doesn't understand, and I feel like I'm going crazy.  I don't know what to do anymore. 
"
raw,4.0,fear,12,3,0.0221,0.008,0.9716,0.0071,0.0556,0.1178,0.0065,"My heart just dropped.  He's always been so sweet and loving, but now he's saying I'm holding him to impossible standards?  I feel like I'm walking on eggshells, afraid to say anything wrong.  I just want him to be happy, but how can I ever live up to this pressure?  I don't know what to do. 
"
raw,4.0,fear,12,4,0.1178,0.0125,0.0516,0.0015,0.0427,0.1543,0.0185,"I can't even believe it's real.  I just saw the news, and it's like my stomach is doing flips.  How could someone do that?  It's just so messed up.  I can't stop thinking about it. 
"
