k,steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
0,baseline,12,8.0,10,0.0571,0.0099,0.2294,0.0021,0.0114,0.2991,0.0111,"I woke up with a jolt, heart pounding, in the middle of the night.  The house was silent, the only sound the gentle hum of the refrigerator.  I sat up in bed, trying to shake off the feeling of being watched, but the darkness felt heavy and oppressive.  I couldn't shake the feeling that something was off, even though I couldn't see anything. 
"
0,baseline,12,8.0,11,0.0194,0.0072,1.1062,0.0022,0.0215,0.1067,0.0073,"The front door clicked shut behind me, and I was alone.  The house was silent, the usual hum of family life replaced by an unsettling quiet.  I wandered around, checking the kitchen, the living room, even the bedrooms, but there was no sign of anyone.  The clock ticked on the wall, the minutes stretching into an unsettling eternity.  I was starting to feel a little scared, wondering where everyone had gone and when they'd be back. 
"
0,baseline,12,8.0,12,0.024,0.0039,0.0108,0.014,0.0636,0.0461,0.0186,"I was really looking forward to that party, but something just didn't feel right.  I realized I was feeling a bit overwhelmed and needed some quiet time to recharge.  It's okay, I'll catch up with everyone later.  I'm going to stay in and do something relaxing instead. 
"
0,baseline,12,8.0,13,0.0947,0.0155,0.0121,0.0185,0.0073,0.5232,0.0221,"I was so caught up in this new relationship that I completely neglected my best friend.  It was a bad habit, I know, and I felt awful about it.  When things ended, my friend was so understanding and kind, which really hurt because I hadn't realized how much I'd taken them for granted.  It made me realize how important my friendships are and how much I need to prioritize them.  I'm trying to be better about that now. 
"
0,baseline,12,8.0,14,0.0377,0.0199,0.2624,0.0535,0.0183,0.1203,0.4663,"I was so embarrassed. I completely spaced on the meeting and forgot about the date. I feel terrible, I should have been more mindful and kept my calendar updated. I'm really hoping they're not too upset, but I'm dreading the call. 
"
0,baseline,12,8.0,15,0.0723,0.0176,0.3769,0.0023,0.0213,0.4094,0.0043,"Ugh, I totally messed up today. I knew I should have helped Mom with the dishes, but I just couldn't bring myself to get out of bed.  I was so comfy and I just wanted to sleep in.  Now I feel terrible, and Mom is probably going to be super mad.  I guess I'll have to make it up to her later. 
"
0,baseline,12,8.0,16,0.0063,0.001,0.0042,0.001,0.7834,0.0174,0.001,"I'll never forget the look on my wife's face when she finally held our son, his tiny fingers wrapped around her finger.  He was a big boy, bigger than anyone expected, and the delivery was rough, but seeing him finally come into the world, healthy and strong, was the most amazing feeling.  It was a moment of pure joy, a moment I'll cherish forever.  He was a little fighter, but he's perfect in every way. 
"
0,baseline,12,8.0,17,0.0066,0.0016,0.0135,0.0012,0.3517,0.0204,0.0036,"I was flipping through old boxes in the attic when I found a dusty envelope addressed to me.  My heart skipped a beat when I saw the familiar handwriting on the back.  It was from Sarah, someone I hadn't spoken to in years!  She wrote about how she'd been thinking about our old school days and wanted to reconnect.  I was surprised and a little excited, maybe even a little nostalgic. 
"
0,baseline,12,8.0,18,0.0183,0.002,0.0577,0.0045,0.7103,0.0228,0.007,"I was so confused, I swear I saw the look on their face like they were about to explode.  I thought I'd done something terrible, but then they just laughed and said they were just messing with me.  Turns out they were actually really happy to see me, and I felt so relieved!  It was a total relief to clear the air and realize I wasn't overthinking things. 
"
0,baseline,12,8.0,19,0.0068,0.0023,0.0079,0.0007,0.9331,0.0051,0.0012,"I can't believe it! I just got the email, and I'm still shaking.  Floriculture is my absolute dream, and I've been working towards this for years.  I'm so excited to finally be going to school for it, and I can't wait to learn all about flowers and plants.  This is the best news ever! 
"
0,baseline,12,8.0,20,0.0295,0.0032,0.0169,0.0116,0.176,0.1615,0.0219,"It was weird at first, not seeing them every day.  We'd always been inseparable, so the silence was deafening.  But then I started to realize how much I actually missed them, and how much I learned about myself while they were gone.  It was a tough adjustment, but I'm so glad they're back now.  It feels like we've picked up right where we left off. 
"
0,baseline,12,8.0,21,0.0226,0.0081,0.0787,0.0043,0.0119,1.0124,0.0026,"It was the worst nightmare I could have ever imagined.  Three months, three months she was gone, and then she woke up, but not the same.  She was in a wheelchair, her words slurred, her movements slow and clumsy.  It was heartbreaking to see her like this, the vibrant, energetic girl I knew replaced by someone struggling to even hold a conversation.  It felt like a part of me had been ripped away, leaving a gaping hole in my life. 
"
0,baseline,12,8.0,22,0.0491,0.003,0.0114,0.0102,0.0091,1.0148,0.0034,"I was so disappointed when I got the email.  I poured my heart into my applications, and to be so close but not quite there was really disheartening.  I guess I'll keep working hard and try again next year.  Maybe I'll even try a different program.  It's a bummer, but I'm not giving up on my dream of studying English. 
"
0,baseline,12,8.0,23,0.0178,0.0065,0.6188,0.0069,0.0303,0.3992,0.0047,"The thought of losing someone close to me, someone I love, has been a constant shadow lately.  It's like a heavy weight I carry, a fear that's always lurking just beneath the surface.  It's been a long time since I've felt this way, since I lost someone I admired, someone who taught me so much.  Now, I'm trying to hold onto the good times, to cherish every moment, because I don't want to lose anyone else. 
"
0,baseline,12,8.0,24,0.0546,0.0311,0.0236,0.1204,0.036,0.0732,0.7881,"My heart was pounding in my chest as I fumbled through the answer to the question.  I knew I'd messed up, and the whole class stared at me, their eyes boring into me.  My face burned with embarrassment, and I wanted to disappear.  I just wanted to crawl under the desk and never come out. 
"
0,baseline,12,8.0,25,0.0365,0.0236,0.0721,0.2139,0.0071,0.5578,0.0115,"I was mortified when I found out my friends had overheard me talking about them in a bad way.  It felt awful to think they thought I was a gossipy, mean person.  I tried to apologize, but it felt like I was just making things worse.  I really value our friendship, and I hope they can forgive me.  I'm trying to be more mindful of what I say around them now. 
"
0,baseline,12,8.0,26,0.059,0.0064,0.0126,0.0066,0.0102,0.1121,0.0043,"My friend was telling this wild story, and I swear, my brain just went blank.  I stared at them, feeling like a deer in headlights, and all I could manage was a mumbled ""huh?""  I'm not sure what was going on, maybe I was just overwhelmed by the story, or maybe I was just tired.  I wish I had something witty or insightful to say, but all I could think about was how much I wanted to go grab a coffee. 
"
0,baseline,12,8.0,27,0.068,0.0194,0.2274,0.0038,0.0252,0.3342,0.063,"Ugh, I just had the worst day.  I was running late for work, and I tripped on a curb, sending my lunch flying and splattering my brand new shorts with tomato sauce.  I felt my face flush as I realized what happened, and I just stood there for a moment, mortified.  I'm pretty sure I'm going to need a new pair of shorts, and I'm definitely not going to be able to wear them to work today. 
"
1,anger,12,8.0,0,0.0437,0.0039,0.0393,0.0099,0.0159,0.0614,0.0137,"I was trying to parallel park, and I forgot to check my blind spot.  The car bumped into the curb, and now the wheel's stuck!  I think I might have overcompensated on the brakes, too.  I'm not sure what to do now."" 
"
1,anger,12,8.0,1,0.0063,0.0009,0.0021,0.0004,0.0078,0.0035,0.0007,"I swear, I was just at the market, buying some bread, and then I saw you at the library. You were reading that book about the history of the city, remember? You were talking to that old lady about the new exhibit at the museum, too."" 
"
1,anger,12,8.0,2,0.4373,0.0065,0.0095,0.0031,0.0064,0.0988,0.013,"I just don't understand why you never seem to care about what I say anymore. You just brush off my feelings, like they don't matter. It's like you're always so busy with your own life, you don't even notice me."" 
"
1,anger,12,8.0,3,0.0435,0.0036,0.006,0.002,0.0032,0.1176,0.0071,"I thought he was just being a little dramatic, you know, trying to impress me. But he's been acting so different lately. He's always trying to be perfect, like he's trying to live up to some impossible standard. I don't know if it's just me, but I feel like he's putting too much pressure on himself."" 
"
1,anger,12,8.0,4,0.0557,0.0054,0.0096,0.0018,0.0137,0.3244,0.0193,"I can't believe it. I saw her, just like that, walking away.  She was so calm, like it was nothing.  I thought she was going to be okay, but then I saw the way she looked at the manhole, like she was...celebrating.  It's just...so wrong.  I can't even imagine what she's thinking."" 
"
1,anger,12,8.0,5,0.1003,0.0057,0.0078,0.0004,0.0165,0.0197,0.002,"I was just getting into this documentary about the history of the Roman Empire, and I swear, it's fascinating, when you barge in like a hungry wolf and start munching on my snacks!"" 

You know how you always have to be careful about what you eat, right? I was trying to focus on the part about the gladiators, and now you're making a mess."" 
"
1,anger,12,8.0,6,0.1,0.0079,0.346,0.0057,0.0089,0.255,0.0259,"I can't believe it, I was just walking home, minding my own business, and then this guy... he just grabbed me, shoved me, and..."" 

He was so close, I thought he was going to..."" 

I just... I tried to fight back, but he... he just kept yelling and..."" 

I'm okay, though. I managed to get away, but..."" 

I'm just... shaken up, I don't know what to do."" 
"
1,anger,12,8.0,7,0.1966,0.022,0.0355,0.0023,0.0068,0.2358,0.0185,"I was just trying to read, but he just... sat down and started staring at his phone.  Then, I saw him, and I swear, he just... pulled his pants down.  I felt so uncomfortable, I just wanted to get off at the next stop."" 
"
1,anger,12,8.0,8,0.0506,0.0057,0.3487,0.002,0.0279,0.0561,0.0122,"I was so caught up in the game, I didn't even notice until we were halfway through the city.  He's been speeding, and he's weaving in and out of traffic.  I'm starting to think he's going to get us into trouble."" 
"
1,anger,12,8.0,9,0.0049,0.0038,0.0144,0.0006,0.0921,0.01,0.0041,"I was just admiring the roses, and then I saw it.  It's slithering closer, right by the fence.  I thought it was just a lizard at first, but it's... bigger than that.  I've never seen one this close before."" 
"
1,anger,12,8.0,10,0.0274,0.0035,0.1103,0.0029,0.0159,0.1888,0.0064,"I woke up with a jolt, heart pounding.  The silence is so thick, it feels like I'm the only one awake.  I thought I heard something, maybe a creak, but it could be nothing.  I'm just tired, probably just a dream.  I should get up and check on the kids, though."" 
"
1,anger,12,8.0,11,0.0332,0.0027,0.4171,0.0059,0.0185,0.4501,0.0072,"I get back, and the house is empty.  No one's here, not even a note.  It's like they just vanished.  I thought maybe they went out for a walk, but it's getting late, and the kitchen's still warm.  I'm starting to get worried, but I can't even call anyone.  Maybe they just needed some space, but..."" 
"
1,anger,12,8.0,12,0.0556,0.002,0.0099,0.0225,0.1525,0.32,0.0119,"I was really looking forward to it, but something just didn't feel right. I'm glad I listened to my gut, though. Sometimes, it's better to be safe than sorry."" 
"
1,anger,12,8.0,13,0.0153,0.0031,0.0065,0.754,0.011,0.4153,0.0128,"I was so caught up in that relationship, I barely noticed you, you know? I was blind to everything else, and I'm so sorry for that. But you were always there, even when I was being a jerk. You're the best friend anyone could ask for, and I should have been more grateful for that."" 
"
1,anger,12,8.0,14,0.0088,0.0024,0.0373,0.4347,0.0509,0.2361,0.0228,"I was so excited to meet you, but I completely spaced on the time. I'm so sorry, I must have gotten lost in my thoughts. I should have called, but I just... I just didn't want to bother you."" 
"
1,anger,12,8.0,15,0.031,0.0019,0.0219,0.3003,0.0205,0.184,0.0183,"I woke up late and just wanted to sleep in.  I know I should have helped her with the paperwork, but I just felt lazy.  I'm not sure why, but I just wanted to stay here and read.  Maybe I'll feel guilty later, but I'm not going to worry about it."" 
"
1,anger,12,8.0,16,0.0047,0.0007,0.0038,0.0007,0.4536,0.0097,0.001,"I'll never forget the look on your face when he finally came out, Sarah.  He was bigger than I thought he'd be, but the midwife said it's not uncommon for firstborns to be a bit bigger.  He was a fighter, though, and I'm glad he's healthy.  He's already got a lot of energy, just like his father."" 
"
1,anger,12,8.0,17,0.0068,0.0014,0.0062,0.0011,0.0114,0.0107,0.0018,"I was just about to throw it out, honestly. I thought it was just junk mail, but... it's from you, remember?  You're in the city now, right? I thought you'd be living in that fancy apartment you mentioned, but..."" 
"
1,anger,12,8.0,18,0.0217,0.0014,0.2867,0.0043,0.8764,0.0491,0.0053,"I was so worried I'd done something wrong, you know? I saw you looking at me funny, like you were mad, and I just... I overthought it. Turns out, you were just distracted, you know, thinking about something else. You were actually happy to see me, I think."" 
"
1,anger,12,8.0,19,0.007,0.0023,0.0089,0.001,0.8038,0.0065,0.0011,"I can't believe it! I've been dreaming of studying floriculture since I was a kid, and now I'm actually going to be a part of it. I've always loved the way flowers bring joy to people, and I can't wait to learn everything I can about them. I'm so excited to finally be able to make a real difference in the world, you know? It's like a dream come true."" 
"
1,anger,12,8.0,20,0.0096,0.0024,0.1538,0.0149,0.0955,0.7856,0.0027,"It was a whirlwind, honestly. I was so excited for her, you know?  She always wanted to see the world, and now she's living in Paris!  But it's been tough, I'll admit.  I miss her terribly, and I haven't seen her in weeks.  I'm just hoping she'll be back soon."" 
"
1,anger,12,8.0,21,0.0102,0.0045,0.5795,0.0019,0.0263,0.4162,0.0038,"It's been a nightmare, honestly.  I thought I'd lose her, you know?  She was so strong, always so full of life, and then... it's like she's a stranger now.  The doctors said it's a miracle she's even awake, but she can barely move her hands, and her voice... it's like she's trying to speak, but it's all jumbled."" 
"
1,anger,12,8.0,22,0.0264,0.0022,0.0104,0.0106,0.0102,0.5141,0.0034,"I was so sure I'd get in, I even practiced my essays for weeks. I thought I aced them, but then the results came back, and I'm just...one percent short. I guess I'll have to try again next year. Maybe I can get a scholarship or something."" 
"
1,anger,12,8.0,23,0.0159,0.0043,0.8631,0.0071,0.0165,0.4485,0.0067,"It's like a shadow follows you, a constant fear that something bad could happen again.  I thought I was strong, but losing Sarah... it felt like the world just stopped spinning for a while.  I thought I could handle anything, but now I'm not sure I can face another loss."" 
"
1,anger,12,8.0,24,0.0457,0.0113,0.1629,0.0472,0.2077,0.1311,0.448,"I was so nervous, I blanked out completely. I was trying to answer the question about the Roman Empire, and I just... I blurted out the wrong answer. Everyone laughed, and I felt so embarrassed. I just wanted to disappear."" 
"
1,anger,12,8.0,25,0.0727,0.0072,0.0088,0.6181,0.0119,0.2356,0.0912,"I was so caught up in my own thoughts, I didn't realize I was talking about you guys behind your backs.  I'm usually pretty good at keeping my mouth shut, but I guess I let my anger get the better of me.  I'm really sorry, I didn't mean to hurt you.  I'm just... I'm not used to being so... well, you know, honest."" 
"
1,anger,12,8.0,26,0.1724,0.0109,0.0228,0.0021,0.0106,0.2738,0.0243,"I was so caught up in the story, I just blanked.  My brain went blank, like a whole page of my notebook is just...empty.  I'm usually good with words, but sometimes, I just freeze up when I'm trying to think of something to say."" 
"
1,anger,12,8.0,27,0.0311,0.0049,0.0129,0.0051,0.015,0.0249,0.019,"I was just walking to class, and I swear I didn't even notice it at first.  Then, I felt something wet on my leg, and I looked down... and I think I just... well, I guess I'll just have to explain to Mrs. Thompson about this later."" 
"
1,disgust,12,8.0,0,0.0989,0.0085,0.0341,0.0074,0.0139,0.171,0.0049,"Ugh, I totally messed up my parallel parking today.  I thought I had it figured out, but I ended up hitting the curb and the car next to me was shaking.  My instructor was pretty calm about it, but I was freaking out a little.  I guess I need to practice more!  Hopefully, I'll get it next time. 
"
1,disgust,12,8.0,1,0.0073,0.0011,0.009,0.0011,0.0907,0.0094,0.0017,"""I'm going to the club tonight,"" I said, trying to sound casual.  She raised an eyebrow, ""You were at the farmer's market yesterday, remember?""  I sighed, ""Yeah, I know, it's a long story.  But I'm going tonight, I promise.""  She just shook her head and smiled, ""Whatever you say.""  Honestly, I was starting to think she didn't believe me. 
"
1,disgust,12,8.0,2,0.7426,0.0092,0.004,0.0015,0.0048,0.2773,0.0034,"I was so frustrated. We were arguing about how he doesn't seem to listen to me anymore, and it felt like he just brushed me off.  I felt unheard and unimportant, like he didn't care about what I had to say.  It's not that I'm expecting grand gestures, but even basic communication feels like a struggle these days.  I just want to feel like he's on my side. 
"
1,disgust,12,8.0,3,0.0565,0.0035,0.0058,0.0061,0.0107,0.1784,0.0016,"My boyfriend just told me my expectations of him are too high, and I felt a little stung.  I guess I've been putting a lot of pressure on him lately, wanting him to be perfect all the time.  It's not fair to him, and I know it's not healthy for our relationship.  I'm trying to be more understanding and realistic, and I hope he can see that I just want us to be happy. 
"
1,disgust,12,8.0,4,0.1947,0.0248,0.9743,0.0021,0.0221,0.1271,0.0122,"I can't believe it.  I just found out that someone I knew, someone I thought was a good person, did something so horrific.  They ended a late-stage pregnancy and just...threw the remains in a manhole?  It's just so messed up, and I can't even process it.  I'm angry, confused, and scared for everyone involved. 
"
1,disgust,12,8.0,5,0.0284,0.0016,0.0057,0.0058,0.0214,0.1333,0.0015,"I was glued to the TV, trying to follow the latest episode of my favorite show, when my little brother barged in.  He was already digging into a bowl of cereal, completely ignoring me.  I sighed, knowing he'd probably be in the middle of a sugar rush by the time I got a word in edgewise.  It was always like this, though, he had a knack for interrupting my relaxation.  I just hoped he wouldn't spill the milk. 
"
1,disgust,12,8.0,6,0.0255,0.0168,0.1245,0.0089,0.0068,0.5146,0.0019,"My heart sank when I heard what happened to her.  It's just awful that something like that could happen to someone, especially someone you care about.  I can't imagine what she's going through right now, but I want her to know I'm here for her.  She's strong and brave, and she'll get through this. 
"
1,disgust,12,8.0,7,0.0203,0.0101,0.3053,0.0022,0.0506,0.0501,0.0203,"I was on the bus, trying to get some work done, when this guy just plopped down beside me.  I was so startled, I almost dropped my laptop.  He had his trousers completely open, and I felt my face flush.  I couldn't believe what I was seeing, and I was mortified.  I just stared at him, hoping he'd get the hint and close his pants. 
"
1,disgust,12,8.0,8,0.0163,0.008,0.9391,0.0022,0.0327,0.0493,0.0036,"I was buzzing from the game, feeling good about the win, when I noticed my friend was really pushing the gas pedal.  He was weaving in and out of traffic, ignoring the red lights, and it was making my stomach churn.  I tried to talk to him, but he just kept yelling at the radio.  I was terrified, honestly, and I knew I had to do something.  I just hoped he'd pull over before something terrible happened. 
"
1,disgust,12,8.0,9,0.0096,0.004,0.3752,0.0029,0.0906,0.048,0.0143,"I was just admiring the sunset over the roses, feeling the warm evening air on my skin.  Suddenly, I saw a flash of movement in the bushes, and my heart jumped.  A snake, maybe a garter snake, slithered out, its scales catching the last rays of sunlight.  I froze, unsure what to do, but it just kept moving closer, its head held high.  I quickly turned and walked away, feeling a little shaken. 
"
1,disgust,12,8.0,10,0.014,0.0026,0.8407,0.0061,0.0532,0.1454,0.0058,"I woke up with a jolt, heart pounding in my chest.  The room was pitch black, the only sound the gentle hum of the refrigerator in the kitchen.  I sat up, my eyes struggling to adjust to the darkness, and felt a wave of anxiety wash over me.  It was just a dream, I told myself, but the feeling of being watched lingered.  I lay back down, hoping to fall back asleep, but the unease wouldn't let me. 
"
1,disgust,12,8.0,11,0.0338,0.0034,0.1208,0.0074,0.0201,0.8069,0.0156,"The front door clicked shut behind me, and I was hit with a strange silence.  It was so quiet, I could hear my own heartbeat.  I looked around, expecting to see my family in the living room, but there was no one.  The house felt empty, and the late afternoon sun cast long shadows that danced across the floor.  I sighed, feeling a pang of loneliness, and wondered where everyone had gone. 
"
1,disgust,12,8.0,12,0.0378,0.0038,0.0208,0.0044,0.2357,0.1331,0.0258,"Ugh, I was so excited to go to that concert last night, but something just didn't feel right.  I kept second-guessing myself all day, and by the time I got ready, I realized I just wasn't in the mood.  It's a bummer, I was really looking forward to it, but sometimes you just have to listen to your gut and back out.  I'm glad I didn't go, though, because I ended up having a much better night at home watching a movie. 
"
1,disgust,12,8.0,13,0.0496,0.0145,0.0094,0.1198,0.0106,0.3297,0.0172,"I messed up, I'll admit it.  I got caught up in this relationship and kind of drifted away from my best friend.  It was a stupid thing to do, and I felt awful about it.  But when things ended, my friend was so understanding and kind, and it really made me realize how much I'd taken them for granted.  I'm so grateful for their support, and I'm determined to be a better friend moving forward. 
"
1,disgust,12,8.0,14,0.0248,0.0256,0.2517,0.0957,0.0116,0.6577,0.0237,"Ugh, I feel awful. I completely spaced on our meeting and forgot about our date. I know it's no excuse, but I was just so overwhelmed with work and everything else going on that I completely lost track of time. I feel terrible, and I'm really sorry. I'll call you right now to explain and make it up to you. 
"
1,disgust,12,8.0,15,0.071,0.0192,0.3188,0.0019,0.0222,0.3239,0.0038,"Ugh, I totally messed up today.  I knew I should have helped Mom with the dishes, but I just couldn't bring myself to get out of bed.  I was so comfy and cozy, and I just wanted to sleep in.  Now I feel terrible, and she's probably going to be super mad.  I guess I'll just have to face the music when she gets home. 
"
1,disgust,12,8.0,16,0.0094,0.0009,0.0115,0.0014,0.8457,0.0266,0.0014,"I'll never forget the look on my sister's face when she finally held him.  It was a mix of relief and pure joy, and I knew right then that everything was going to be okay.  The whole delivery had been a wild ride, a real struggle with a big, stubborn baby, but seeing him finally come into the world, healthy and perfect, was worth every ounce of pain.  He was a fighter, that little guy, but he was ours. 
"
1,disgust,12,8.0,17,0.0051,0.0012,0.0078,0.0015,0.0636,0.0092,0.0013,"I was flipping through old boxes in the attic when I found a letter tucked away in a dusty corner.  It was from Sarah, someone I hadn't spoken to in years!  Her handwriting was so familiar, and the words on the page brought back so many memories of our shared childhood.  I couldn't believe it was actually her, and I was so curious to know what she'd been up to all these years.  I sat down with a smile, ready to catch up. 
"
1,disgust,12,8.0,18,0.0308,0.0014,0.0691,0.0105,0.4221,0.0896,0.0078,"I was so confused when I saw their face, all tight and serious.  I thought I'd done something wrong, maybe said something hurtful.  But then they told me they were just really happy to see me, and that they'd been looking forward to catching up.  It was such a relief, and I felt so silly for overthinking it.  Turns out, they were just really happy to see me! 
"
1,disgust,12,8.0,19,0.007,0.0024,0.0074,0.0008,0.8853,0.0051,0.0012,"I can't believe it! I just got the email, and my heart is still racing.  Floriculture, my dream program, I'm actually going to get to study it!  I've been working towards this for so long, and now it's finally happening.  I'm so excited to learn all about flowers and plants, and I can't wait to start my journey in this field.  
"
1,disgust,12,8.0,20,0.0246,0.0044,0.0193,0.0031,0.1419,0.0911,0.0378,"It was weird, to say the least, having my best friend move across the world.  We'd been inseparable since forever, and suddenly, she was a thousand miles away.  It was tough at first, missing our late-night talks and spontaneous adventures.  But eventually, I realized it was a chance for us to grow and see the world from different perspectives.  I'm so proud of her for taking this leap, and I can't wait to catch up when she gets back. 
"
1,disgust,12,8.0,21,0.0151,0.0068,0.1124,0.0051,0.01,0.9188,0.0016,"It was the worst nightmare I could have ever imagined.  Three months.  Three months of waiting, of doctors and tests, of watching her fight for every breath.  Coming out of the coma, she was a shell of herself, barely able to move or speak.  It was heartbreaking, seeing her struggle, but we were determined to help her get better, even if it took every ounce of strength we had. 
"
1,disgust,12,8.0,22,0.0842,0.0031,0.0062,0.0083,0.0077,0.9208,0.0047,"I was so disappointed when I got the email.  I'd poured my heart and soul into my applications, and to be one percent short of the cutoff felt like a slap in the face.  It was a huge blow, especially after all the work I'd put in.  I guess it just goes to show that sometimes things don't go your way, even when you're doing everything right.  But I'm not giving up, I'll find another path to my dream. 
"
1,disgust,12,8.0,23,0.026,0.0129,0.8466,0.0056,0.0182,0.4623,0.0049,"The thought of losing someone close to me, someone I love, felt like a punch to the gut.  It was a feeling I knew all too well, a shadow from the loss of my grandfather.  He was a pillar of strength, someone I always looked up to, and the pain of losing him was a constant ache in my chest.  Now, facing the possibility of losing someone else, I was terrified of the emptiness that might follow. 
"
1,disgust,12,8.0,24,0.0657,0.0306,0.0311,0.068,0.0276,0.0828,0.804,"Ugh, I totally blanked in class today.  I was answering a question about the French Revolution, and I just blurted out something completely wrong.  Everyone stared at me, and I felt my face burn.  I was so embarrassed, I wanted to disappear!  I knew I had to own it, though, so I just took a deep breath and tried to explain what I actually knew. 
"
1,disgust,12,8.0,25,0.0493,0.021,0.0406,0.0566,0.014,0.3185,0.59,"I was so mortified when my friends found out about the things I'd been saying about them.  It felt like a huge betrayal, and I was so embarrassed.  I tried to explain myself, but they weren't having it.  It was really hard to face them after that, and I felt like I lost their trust.  I'm still trying to rebuild those friendships, but it's been a slow process. 
"
1,disgust,12,8.0,26,0.0547,0.0049,0.0447,0.0108,0.0104,0.169,0.0157,"My friend was telling this crazy story about this time she went to a party and... I just blanked.  I stared at my coffee, feeling my face flush.  I'm not sure if it was the caffeine or the fact that I was completely stumped, but I couldn't find the words.  I just mumbled something about how it sounded wild and hoped she wouldn't notice my awkward silence. 
"
1,disgust,12,8.0,27,0.0787,0.0413,0.0741,0.0084,0.0447,0.1332,0.1622,"Ugh, I just had the worst day.  I was so focused on finishing this presentation, I completely spaced on the fact that I had to change my pants.  Now, I'm sitting here at the coffee shop, and I just realized I've got a pretty nasty stain on my shorts.  I'm mortified, I can't believe I did this!  I'm going to have to go home and change. 
"
1,fear,12,8.0,0,0.0265,0.0057,0.6202,0.0039,0.0303,0.2352,0.0271,"I was so focused on parallel parking, I didn't see the curb until it was too late.  My foot went to the brake, but I ended up hitting the curb instead.  My instructor was pretty calm, but I was mortified.  I'm sure I'll get it next time. 
"
1,fear,12,8.0,1,0.0157,0.0012,0.0033,0.0009,0.8591,0.0092,0.003,"""I'm going to the club tonight,"" I said, trying to sound casual.  He just raised an eyebrow and shook his head, ""You were at the park yesterday, remember?""  I sighed, ""Yeah, but I'm going to the club now.""  He just laughed and shook his head again.  I guess he didn't believe me. 
"
