id,emotion,text,human_0_100
item_0010,fear,"I can't believe I just saw him, just... exposed.  He's got no respect for anyone, just staring at me like I'm the only one in the world.  I'm so mortified, I want to scream.  I'm going to get out of here, I can't even look at him anymore.  It's like he doesn't care about anything else, just his own body.  I'm going to be sick. "" 
",
item_0011,sadness,"I'll never forget the look on my wife's face when she finally held our son, his tiny fingers wrapped around her finger.  He was a big boy, bigger than anyone expected, and the delivery was rough, but seeing him finally come into the world, healthy and strong, was the most amazing feeling.  It was a moment of pure joy, a moment I'll cherish forever.  He was a little fighter, but he's perfect in every way. 
",
item_0012,guilt,"The radio crackled with the news, a voice booming through the speakers, ""Congratulations, you've passed, you've been chosen, you're going to secondary school.""  My heart pounded in my chest, a strange mix of fear and excitement.  I'd worked so hard, and now it felt like all that effort was finally paying off.  I can't believe I'm actually going to be a student, a real one, not just a kid anymore. 
",
item_0013,sadness,"I can't believe I did that! I was so desperate for money, I just blurted out a whole lie about someone stealing my books.  He's going to be so mad! I feel like I've betrayed him, like I don't even know who I am anymore.  I'm so stupid, I can't believe I'm this pathetic."" 
",
item_0014,joy,"I can't believe she did that.  She promised she wouldn't, and now I'm drowning in this mess of broken promises and shattered trust.  It's like a giant weight is crushing my chest, and I can't breathe.  How could she do this to me? 
",
item_0015,fear,"I felt like I was drowning in the silence after she said it.  I knew I was being ridiculous, but I couldn't help but think she'd never understand how much I'd messed up.  She'd been so careless, so oblivious to how much I'd hurt her.  I just wanted to disappear.  I wish I could rewind time and take back everything I'd said. 
",
item_0016,joy,"I was dancing, feeling so alive, and then... *poof*! My dress split right open! It was like a scene from a movie. I couldn't believe it, I was so embarrassed. I felt like I was going to burst into laughter, but I just kept smiling. It was the most amazing feeling, like I was finally free!"" 
",
item_0017,anger,"I was so excited when I finally finished that project, and then Sarah messed it up! She totally ruined it with her careless mistake. I was so frustrated, I wanted to scream. I just wanted to tell her how much I was looking forward to sharing it with everyone."" 
",
item_0018,disgust,"My heart was pounding like a drum in my chest. I could hear every creak of the floorboards, every whisper of the wind.  Everyone was asleep, and I felt so exposed, like I was going to be found.  I wanted to disappear, to be invisible.  I just wanted to crawl into the shadows and never come out."" 
",
item_0019,disgust,"My stomach dropped. I felt like I was drowning in a sea of disappointment.  Everyone else seemed to be soaring, while I was plummeting.  I'd worked so hard, convinced I'd messed everything up.  I couldn't even look at my parents, like they were the only reason I was a failure.  I just wanted to disappear. 
",
item_0020,sadness,"I was so worried I'd done something wrong, I thought I'd messed up.  Then I saw their face light up when they saw me, and I realized I was so relieved!  It was like a weight had been lifted off my shoulders.  I can't believe I was so worried about nothing."" 
",
item_0021,disgust,"My heart is pounding, I can't even breathe!  The radio is screaming, but I can't hear anything but my own thoughts.  I'm supposed to be at school, but I feel like I'm going to faint.  I've done it, I actually did it!  I passed!  I'm going to secondary school, I'm actually going to secondary school!"" 
",
item_0022,fear,"My stomach twisted into knots as I saw her message.  I'd been so sure she'd understand, that I could explain, but there was no excuse.  I should have been there, ready to face whatever I'd done to make her feel like this.  I'm so selfish, I just wanted to disappear. 
",
item_0023,fear,"My heart is pounding, the engine's roaring, and I can't breathe.  The truck behind me is a monster, its brakes screaming.  The car in front of me is a blur, its horn blaring.  I can't even think straight, I just want to slam on the brakes.  I'm going to die. 
",
item_0024,joy,"My hand shook as I opened the envelope.  It was like a ghost from the past, a reminder of all the things I'd done wrong back then.  How could I have been so stupid?  I hadn't even known her for a second, like I was some kind of monster.  I wanted to disappear, to run away from everything.  I should have just ignored it, but I had to write back.  
",
item_0025,sadness,"The world went silent, a deafening void where her laughter used to be. Three months, a lifetime, and all I could hear was the echo of her name.  Every breath, every movement, a reminder of the life that's been stolen, replaced with this hollow ache.  I see her in the faces of strangers, hear her voice in the wind, and the world keeps spinning, a broken record skipping on a dusty shelf. 
",
item_0026,fear,"My heart was pounding like a drum solo.  Everyone in the room was staring at me, and I can't even breathe.  I knew I was wrong, so wrong, and I just wanted to disappear.  I blurted out the wrong answer, and I can't even think straight.  I wish I could rewind time and just erase everything."" 
",
item_0027,disgust,"I was so excited to see her, I almost forgot to breathe when she arrived!  I was so ready to talk to her about everything.  Then, I realized I had completely spaced out and forgot about the meeting.  I feel terrible, I should have been there.  I can't believe I missed it."" 
",
item_0028,shame,"My heart's pounding, my throat's tight.  He's saying he doesn't understand why I'm so upset, but I can't even speak.  It's like he doesn't see how much I'm hurting.  I just want him to understand, to tell me he cares.  Why does he act like this?  Why can't he just be normal? 
",
item_0029,fear,"I felt like a fraud, like I was constantly failing.  Everyone else seemed so sure of their faith, so perfect in their devotion. I was just a shadow, pretending to be someone I wasn't.  I wanted to scream, to tell everyone how empty and pathetic I was.  I couldn't even pray properly, like I was a terrible sinner.  I just wanted to disappear."" 
",
item_0030,anger,"I was so excited to tell Sarah about the club, I practically jumped out of my skin!  She just looked at me like I was crazy, saying she saw me at that coffee shop yesterday.  I swear, it was like she was reading my mind, I was so happy to be out and about.  I can't believe she was right there, I almost didn't recognize her!"" 
",
item_0031,disgust,"My brain felt like a sponge, sucking all the air out of my lungs.  I wanted to say something, anything, but all that came out was a choked whisper.  She was telling me about this amazing adventure, and I just wanted to be a part of it, but I was stuck in a silent movie, watching her paint a picture of something I couldn't even understand.  I wish I could tell her how much I want to be there with her, but all I can do is watch her laugh and cry and scream, and I'm just a ghost in the background",
item_0032,guilt,"My heart's pounding, I can't breathe.  I burst into the dorm, my eyes scanning the room, but there's nothing but emptiness.  My friend's clothes, her favorite sweater, everything's gone.  I feel sick, like I'm going to throw up.  What if they're gone forever?  What if they're in the closet, in the hallway, somewhere? 
",
item_0033,disgust,"I was just walking down the street, feeling so happy to be out, and then these two girls just started yelling at me! They were so mean, like they wanted to fight. I felt so scared, I just wanted to get away. I don't know what they were even saying, it was so crazy! I'm so glad I got to safety."" 
",
item_0034,sadness,"I can't even describe it. I felt like someone was watching me, like I was going to be sick. I just wanted to disappear. He was so mortified, I wanted to scream. I'm so embarrassed, I can't even think straight. I just wanted to get out of there."" 
",
item_0035,disgust,"My phone just dropped. I swear, I'm going to be sick. I can't believe she's actually saying that. I'm so embarrassed, I just want to crawl into a hole. I'm so happy and terrified at the same time. I can't believe I'm about to be a mess. I'm going to be so happy when I see him, but also so sad. It's like my heart is going to explode."" 
",
item_0036,joy,"My face burned so hot. I wanted to disappear. Everyone was staring, and I could hear their whispers. I felt so exposed, like everyone was watching me. I wanted to scream, but I just sat there, frozen. I couldn't believe he was so careless, so...vulnerable. I wanted to apologize to him, but he just looked like a monster.  I couldn't believe I was so embarrassed. 
",
item_0037,joy,"I was just walking down the street, feeling so happy to be out, and then these two girls just started yelling at me! They were so mean, like they wanted to fight. I felt so scared, I just wanted to get away. I don't know what they were even saying, it was so crazy! I'm so glad I got to safety."" 
",
item_0038,anger,"My heart is pounding, my eyes are wide.  A man in a red robe is standing in my doorway, holding a bag of something I can't even name.  Then, a voice, a deep, rattling sound, and a man in a dark cloak, his face hidden.  I'm frozen, my breath catching in my throat.  Is this real?  Is this a dream? 
",
item_0039,guilt,"I saw her in the grocery store, her shoulders slumped and her face a mask of defeat.  Everyone else was just going through the motions, but I felt like I was the only one who could hear her silent screams.  I wanted to ask her what was wrong, but I just stood there, frozen.  I wish I could take her pain away, make it disappear.  Maybe if I could just tell her everything was okay, she wouldn't be so broken."" 
",
item_0040,joy,"I feel awful. I pushed my friend away, focused on this stupid relationship, and now I can't even look at her.  It's like I was a selfish jerk, and she just... she was so kind to me after it was over. I don't deserve her forgiveness. I wish I could take it back. 
",
item_0041,shame,"I can't believe he just said that.  It's like he's expecting me to be some kind of goddess, like I'm the only one who's ever felt this pressure before.  He's making me feel so suffocated, like I'm drowning in this expectation of perfection.  I just want to scream.  How can I possibly live up to this?  I'm so embarrassed."" 
",
item_0042,anger,"My heart hammered in my chest as I stared at the email.  One percent.  It's not even a real number, it's like my brain is trying to calculate the impossible.  I've worked so hard for this, for months, and now it's all just a blur.  I can't breathe, I can't even think.  I just want to run away. 
",
item_0043,sadness,"The show was so intense, I couldn't breathe.  My stomach was doing flips, and my eyes were glued to the screen.  Then, I hear the clattering from the kitchen, and my brother's voice, 'What's happening?'  He's in the doorway, eyes wide, and I can't even speak.  He's grabbing food, and I'm frozen.  I'm so embarrassed, I want to disappear. 
",
item_0044,anger,"I was so worried I'd done something wrong, I thought I'd messed up.  Then I saw their face light up when they saw me, and I realized I was so relieved!  It was like a weight had been lifted off my shoulders.  I can't believe I was so worried about nothing."" 
",
item_0045,fear,"I can't believe it's happening again.  He just... he just grabbed me, shoved me, and I just... I don't even know how to explain it.  I'm so scared, I can't even breathe.  I just want to scream, but I'm frozen.  How can someone be so... so cruel?"" 
",
item_0046,anger,"I felt my heart pounding as I walked down the street, their words echoing in my ears.  They were just kids, but their eyes were cold and sharp, like daggers.  I wanted to run, to disappear, but they just kept getting closer, their threats hanging in the air.  I wish I could have done something, but all I could do was shrink away, hoping they'd just leave me alone. 
",
item_0047,sadness,"I can't believe it! I've been working so hard for this, and I'm just so excited.  I've always loved learning about the human mind, and now I get to actually study it! I can't wait to start learning all the things I've been wanting to know. This is the best news ever!"" 
",
item_0048,sadness,"My boyfriend said something the other day that really stung. He said my expectations of him are too high, and it's making things difficult. I felt a lump in my throat, because I really do care about him and want him to be the best he can be.  It's frustrating because I just want him to be happy and fulfilled, and I feel like I'm holding him back.  I guess I need to figure out how to communicate my needs better. 
",
item_0049,sadness,"I can't believe I just saw her, walking down the street like nothing was wrong.  I knew I was being ridiculous, but I wanted to scream.  How could I be so stupid?  I should have just walked away.  I'm so ashamed, like I was the only one who knew what she was doing.  I just wanted to disappear. 
",
item_0050,guilt,"Oh my gosh, I just can't believe it! I was walking down the street and then, bam, I totally messed up! I must have tripped or something, and now my shorts are covered in... well, I don't even know what it is! I feel so embarrassed. I'm going to have to go wash them right now."" 
",
item_0051,anger,"The letter felt like a physical blow, a punch to the gut.  One percent. That's all it was, a tiny, insignificant fraction that shattered my dreams.  I poured over my grades, searching for a reason, a flaw I could fix, but there was nothing.  I'm supposed to be the one who's supposed to be brilliant, the one who's supposed to be good enough, but I'm just...not.  I'm just a failure. 
",
item_0052,anger,"My heart hammered in my chest.  I'd admired them for so long, thinking they were so much cooler and more interesting than anyone else.  When they asked me out, it felt like a punch to the gut.  I wanted to disappear, but I also wanted to tell them how stupid I was for letting them get so close.  I just wanted to be brave and tell them I was a fool. 
",
item_0053,sadness,"I felt like I was going to explode. I was walking down the street, and I swear I saw you from across the room. Like I was caught in a spotlight, everyone was staring at me. I knew I looked ridiculous, like I was wearing a mask. I just wanted to disappear. I was so embarrassed. I had to tell you, 'I'm so stupid, I'm so obvious.' I'm so glad I didn't say anything. ""You're so fake,"" I wanted to scream. ""I'm so transparent."" 
",
item_0054,anger,"The air hung heavy with the scent of honeysuckle, and the last rays of sun were bleeding out of the sky.  Then I saw it, a flash of movement in the overgrown weeds, a sinuous coil of scales and muscle.  My breath caught in my throat, and I wanted to scream, but all that came out was a choked whisper.  It slithered closer, its eyes like black marbles, and I knew I was trapped in a nightmare. 
",
item_0055,disgust,"I was so excited to go, like I was going to be the only one who wasn't a complete imposter.  I'd planned this for weeks, but then I saw everyone else was already there, and I just wanted to disappear.  I should have called and told them I was a fraud, like I was some kind of invisible ghost.  I'm so stupid.  I wish I could just disappear."" 
",
item_0056,joy,"My heart was pounding, I swear. It was like a living nightmare, this thing slithering towards me.  I wanted to scream, to run, but my legs were frozen.  It was just inches away, its eyes boring into me.  I thought I was going to faint, I was so terrified.  I just wanted to get out of there."" 
",
item_0057,fear,"My hands were shaking, my face burning. I knew I was being so pathetic, like a thief. I'd been so hungry, but I didn't deserve to be like this.  I just wanted to disappear.  She'd never let me stay over at her place again.  I knew I'd ruined everything. 
",
item_0058,disgust,"My hand shook as I opened the envelope.  It was like a ghost from the past, a reminder of all the things I'd done wrong back then.  How could I have been so stupid?  I hadn't even known her for a second, like I was some kind of monster.  I wanted to disappear, to run away from everything.  I should have just ignored it, but I had to write back.  
",
item_0059,joy,"I swear, I was just walking down the street, I looked like a ghost.  I saw myself in the mirror, I'm so embarrassed.  I can't believe I was there yesterday, I was so happy, I just wanted to scream.  How could I have been so happy?  I'm so glad I'm not the only one who feels like I'm living in a bad dream."" 
",
item_0060,shame,"The doctor's words were muffled, a distant echo in the room.  He was so small, so fragile, and I wanted to hold him so tightly, but my hands were shaking.  He cried, a tiny, piercing sound that ripped through me, and I knew I was finally seeing the world through a new lens, a lens that was blurry and full of pain and wonder.  He was perfect, a tiny miracle, and I was so scared and so happy all at once. 
",
item_0061,shame,"I felt like I was going to explode. I was walking down the street, and I swear I saw you from across the room. Like I was caught in a spotlight, everyone was staring at me. I knew I looked ridiculous, like I was wearing a mask. I just wanted to disappear. I was so embarrassed. I had to tell you, 'I'm so stupid, I'm so obvious.' I'm so glad I didn't say anything. ""You're so fake,"" I wanted to scream. ""I'm so transparent."" 
",
item_0062,shame,"I was really looking forward to that weekend trip, planning it for months.  Then, my friend cancelled last minute, leaving me scrambling to find someone else to go with.  It was so frustrating, and I felt like I'd wasted all that time planning.  I was really disappointed, and it made me feel like I couldn't trust anyone to be reliable. 
",
item_0063,shame,"I just feel so lazy! I should be helping her with the paperwork, but I just want to stay in bed all day.  It's like I'm not even a part of this family, you know?  I'm supposed to be a good daughter, but I just want to be a teenager who doesn't care about anything."" 
",
item_0064,sadness,"My words tumbled out, a torrent of hurt and anger.  How could he be so oblivious?  He just shrugs, says it's not a big deal, but it is.  I want to scream, to tell him how much I need him to understand, to feel the weight of his silence.  I just want him to see me, really see me, instead of just seeing the girl he wants to hold onto. 
",
item_0065,fear,"I was so nervous when my uncle found out I'd lied about the books.  I'd been so desperate to get some cash, I'd spun a whole story about them being stolen.  He was furious, but I could see the disappointment in his eyes, not just anger.  I knew I'd messed up big time, and I was really scared of what he'd do.  I just hoped he could forgive me. 
",
item_0066,fear,"It's like a shadow follows me everywhere.  I thought I was over it, but seeing her smile, hearing her laugh... it's like she's right here, and I'm going to lose her again.  It's like I'm drowning in this grief, and I can't breathe.  I just want to scream, 'Why did I let her go?'  I can't even remember what it's like to be happy anymore."" 
",
item_0067,guilt,"I swear, I felt something crawling on my arm. It was like a thousand tiny pinpricks, and I just wanted to rip it off. I'm so embarrassed, I can't even describe it. I'm so glad I didn't scream. It was just this weird, gross feeling, like a spider or something. I'm going to wash my arm, I can't believe it."" 
",
item_0068,guilt,"I can't believe it. I just feel like my brain is exploding. I worked so hard for those exams, I thought I was going to pass out. One percent? It's like someone just ripped my heart out. I'm supposed to be dreaming about the future, but all I can think about is how stupid I am. I'm going to be so angry if I don't get a second chance."" 
",
item_0069,anger,"My breath hitched in my chest, the room spinning as the doctor said, ""It's a girl.""  She's so small, so fragile, and I can't stop the tears.  My husband's hand is squeezing mine, but I can't even speak.  This tiny, perfect being is so much bigger than I thought she would be. 
",
item_0070,shame,"I spent hours working on that math problem, convinced I had the right answer.  I'd spent so much time trying to apply the formula, but when I finally looked back at the problem, I realized I had completely missed the context.  I felt stupid, like I'd wasted everyone's time.  I should have read the assignment carefully before I started.  It was so frustrating, knowing I'd messed up because I wasn't paying attention. 
",
item_0071,anger,"I was so excited to go, but now I'm just feeling heavy and drained.  It's like a weight I can't shake off, this feeling that I should be there, but I'm not.  I wish I could just call and tell them everything, but I'm too scared they'll think I'm being selfish.  Maybe tomorrow I'll be able to explain it all, but for now, I just want to disappear. 
",
item_0072,joy,"His words hit me like a ton of bricks.  I thought I was being so understanding, so accepting, but all I see is this gaping hole where my expectations should be.  He's so good at pretending everything's fine, but I can't help but feel like I'm drowning in a sea of disappointment.  How can I ever be enough for him? 
",
item_0073,shame,"My hands were shaking, my face burning. I knew I was being so pathetic, like a thief. I'd been so hungry, but I didn't deserve to be like this.  I just wanted to disappear.  She'd never let me stay over at her place again.  I knew I'd ruined everything. 
",
item_0074,shame,"I was flipping through old boxes in the attic when I found a dusty envelope addressed to me.  My heart skipped a beat when I saw the familiar handwriting on the back.  It was from Sarah, someone I hadn't spoken to in years!  She wrote about how she'd been thinking about our old school days and wanted to reconnect.  I was surprised and a little excited, maybe even a little nostalgic. 
",
item_0075,shame,"I swear, she's got a whole symphony going on in there!  Every time she moves, it's like a drum solo, and I can't even sleep!  I'm going to lose it if I don't get some peace and quiet.  I just want to crawl into a cave and disappear."" 
",
item_0076,guilt,"I can't believe it's happening again. I felt like I was going to faint when he grabbed me, his hands shaking. I just wanted to disappear. I was so embarrassed, like everyone was watching. I just wanted to run away, but I couldn't move. I'm so stupid for letting him touch me. I wish I could rewind time and just disappear."" 
",
item_0077,disgust,"I was so happy to help him, I really wanted to see him succeed!  He was so stressed about it, and I just knew I could make this project so much easier for him.  I'm glad I could be there for him, even though I was so relieved when it was finally done."" 
",
item_0078,guilt,"My heart is pounding, I can't breathe.  The recorder is so loud, it feels like it's going to burst my eardrums.  I need to get out of here, I can't stand it.  I'm going to run out of the room, I can't even think straight.  I need to get away from this noise. 
",
item_0079,anger,"I was so excited to see them, but it's like they're avoiding me.  I don't even know what I did, I just feel like I'm intruding on their lives.  I just want to be normal, you know?  I wish I could just disappear."" 
",
item_0080,fear,"I can't even describe the pain, the feeling of watching her, trapped in that hospital bed.  Three months, I swear it felt like an eternity.  Her body was just numb, and the doctors kept saying it was a miracle she was even alive.  I just wanted to scream, to tell her I was so scared, I thought I was going to lose her.  It's like my brain can't even process what happened, it's like I'm watching a movie."" 
",
item_0081,joy,"My stomach clenches every time I see him, like a fist squeezing my heart. I told him a lie, a big, ugly lie, about those books, about how they were ripped from my hands and taken away. He found out, the truth spilling out of me like a broken dam.  He doesn't even look at me anymore, just a hollow echo of the man I used to know.  I wish I could rewind time, erase the words I said, and make it all go away. 
",
item_0082,joy,"I was convinced I'd done something terrible. I felt like I'd messed up, like I'd said the wrong thing. Then, I saw their face, and I realized it was just... relief. I felt so stupid, like I was drowning in shame. I'm so glad I didn't say anything, I just wanted to apologize. It was like they were holding their breath, and then they just let it out."" 
",
item_0083,sadness,"My heart sank when he said it.  I felt like I was drowning in the weight of all the things I'd expected from him, all the things I'd never been able to articulate.  He just wanted to be better, to meet these impossible standards I'd set for him.  I wish I could explain how much I loved him, how I wanted to be the one who held him up, but all I could do was apologize for making him feel like I was holding him back. 
",
item_0084,guilt,"I swear, that recorder was so loud! I felt like I was going to burst. I just wanted to get out of there, I couldn't even think about what to say to them. I was so happy to find an excuse to leave, I just needed to get away from that sound."" 
",
item_0085,anger,"I noticed Mom was quiet and her shoulders seemed slumped.  She wasn't her usual bubbly self, and I felt a pang of worry.  I wanted to ask her what was wrong, but I didn't want to pry.  Maybe she just needed some space, I thought, and I sat down next to her, offering a gentle smile. 
",
item_0086,disgust,"My heart sank when he said it.  I felt like I was drowning in the weight of all the things I'd expected from him, all the things I'd never been able to articulate.  He just wanted to be better, to meet these impossible standards I'd set for him.  I wish I could explain how much I loved him, how I wanted to be the one who held him up, but all I could do was apologize for making him feel like I was holding him back. 
",
item_0087,shame,"I felt my cheeks burn as I told her I was going to the club.  It was stupid, I knew she was right. I'd been so caught up in the moment, thinking I could pretend it was a normal thing to do, but seeing her face, knowing I'd lied, made everything worse.  I should have been honest, but I just wanted to disappear.  I hate that I can't trust myself to be honest with her. 
",
item_0088,sadness,"So, I was finally getting the hang of parallel parking, and I thought I had it.  I pulled up next to the curb, turned the wheel, and... the car just wouldn't budge.  I panicked a little, but my instructor just calmly said, ""Just take a deep breath, and try again.""  Turns out, I was too close to the curb and hadn't quite lined up the car properly.  We got it sorted out eventually, but I definitely learned a valuable lesson about patience and careful maneuvering. 
",
item_0089,shame,"My hand trembled as I reached for the cookie jar, the guilt twisting in my stomach.  I knew I shouldn't have taken it, but it was just one little bite, and I wanted it so badly.  My aunt's eyes were so sharp, so full of disappointment, and I wanted to disappear.  I'm so ashamed, I can't even look at her right now. 
",
item_0090,anger,"I just spent the last five minutes trying to figure out how to solve this problem. I was so close, I swear. I had the wrong answer, though. It was like my brain just went blank. I had no idea what I was supposed to be doing. I just stared at the equation for a second, like I was going to be sick. I feel like I'm going to be sick."" 
",
item_0091,joy,"I was already feeling stressed about the traffic, and then this guy in the truck behind me started tailgating.  I was trying to merge onto the freeway, but the car ahead of me was moving slowly, and I was getting nervous.  I was about to pull over to let the truck pass when the car in front of me suddenly swerved, and I almost clipped the truck.  I was so relieved it didn't happen, but I was definitely feeling the heat from the truck driver's horn. 
",
item_0092,shame,"My heart was pounding like a drum in my chest. I was so embarrassed, everyone was staring.  He was so tall and imposing, like a giant, and I wanted to disappear.  The man in the red robe was so loud, like a monster was trapped inside him.  I wanted to run away, but I couldn't move.  He was just a shadow, a fake, and I wanted to scream. ""Go away!"" I wanted to be invisible."" 
",
item_0093,joy,"My heart is pounding, my breath is stuck in my throat. I can't even think straight, I'm frozen.  He's just standing there, staring at me, and I can't move.  I'm trying to scream, but all that comes out is a choked sob.  I just want to run, to get away from him, but I can't.  I'm trapped. 
",
item_0094,joy,"I was so surprised! I've been working so hard, and she really saw it in my movements.  I can't believe she said I could be in the academy, it's such a dream come true. I can't wait to keep practicing and maybe even get to dance with everyone there."" 
",
item_0095,anger,"It was so frustrating! I was so excited to see them, but then everything just got in the way. I had so much to do, and I just wanted to spend all day with them. I wish we could have had more time together, but I'm so happy we got to catch up."" 
",
item_0096,shame,"I feel so bad, I just wanted to be there for them, you know?  I promised I'd make them feel like they're the only person in the world, but I just... I can't even explain it.  I'm so selfish, I just want to be a good friend, but I can't even be present for them."" 
",
item_0097,fear,"My heart is pounding, my stomach is doing flips. I can't believe they actually asked me out.  I've admired them for so long, and now they want to be closer to me?  I'm speechless, but also so excited.  I hope they don't think I'm being weird.  I just want to say something, anything, but I can't even breathe. 
",
item_0098,disgust,"I can't believe I bombed it. I studied so hard for this, I thought I was doing great, but I just... messed up. I feel like I'm going to be sick. I'm so stupid, I can't even think straight. I just want to crawl into a hole and disappear."" 
",
item_0099,disgust,"My hands are shaking, my throat is tight. I'm supposed to be reciting the prayers, but my voice is a strangled whisper.  This isn't the way it's supposed to be.  I'm supposed to be a pillar of faith, but I feel like a crumbling statue.  I'm supposed to be strong, but I'm just a scared little bird in a cage. 
",
item_0100,fear,"I was convinced I'd done something terrible. I felt like I'd messed up, like I'd said the wrong thing. Then, I saw their face, and I realized it was just... relief. I felt so stupid, like I was drowning in shame. I'm so glad I didn't say anything, I just wanted to apologize. It was like they were holding their breath, and then they just let it out."" 
",
item_0101,sadness,"My heart was pounding, like a drum solo.  The truck was right on my tail, and I could feel the heat of its engine radiating off its massive tires.  I was frozen, waiting for the car in front of me to move, like a puppet on a string.  I wanted to scream, but all I could do was hold my breath and hope it would all just disappear.  I was so close to making a mistake, I could taste it on my tongue.  I was going to be the reason for a car accident. 
",
item_0102,guilt,"I can't believe I just saw her, walking down the street like nothing was wrong.  I knew I was being ridiculous, but I wanted to scream.  How could I be so stupid?  I should have just walked away.  I'm so ashamed, like I was the only one who knew what she was doing.  I just wanted to disappear. 
",
item_0103,anger,"I'm still reeling from that exam. I really thought I had it in the bag, but I guess I just didn't study enough.  It's a bummer, especially since I'd been working so hard.  I guess I'll just have to put in more effort next time.  I'm not giving up though, I'll get it next time. 
",
item_0104,disgust,"I felt like I was going to explode. I was walking down the street, and I swear I saw you from across the room. Like I was caught in a spotlight, everyone was staring at me. I knew I looked ridiculous, like I was wearing a mask. I just wanted to disappear. I was so embarrassed. I had to tell you, 'I'm so stupid, I'm so obvious.' I'm so glad I didn't say anything. ""You're so fake,"" I wanted to scream. ""I'm so transparent."" 
",
item_0105,fear,"My cheeks were burning, I felt like I was going to explode. She was right, I was so good!  I've never felt so alive, like I could actually fly.  I've been dreaming of being in an academy, it's like my whole body is buzzing.  I can't believe she just said that, I'm so happy right now."" 
",
item_0106,shame,"It was weird at first, not seeing them every day.  We'd always been inseparable, so the silence was deafening.  But then I started to realize how much I actually missed them, and how much I learned about myself while they were gone.  It was a tough adjustment, but I'm so glad they're back now.  It feels like we've picked up right where we left off. 
",
item_0107,disgust,"I was just sitting there, minding my own business, when I saw it!  These people just grabbed those two guys and dragged them out of the bus.  I couldn't believe it, they were so angry!  I felt so relieved they were safe, but I was so scared for them too.  It was like a scene out of a movie."" 
",
item_0108,guilt,"My brain felt like a sponge, sucking all the air out of my lungs.  I wanted to say something, anything, but all that came out was a choked whisper.  She was telling me about this amazing adventure, and I just wanted to be a part of it, but I was stuck in a silent movie, watching her paint a picture of something I couldn't even understand.  I wish I could tell her how much I want to be there with her, but all I can do is watch her laugh and cry and scream, and I'm just a ghost in the background",
item_0109,guilt,"I was so focused on the steering wheel, I thought I was going to puke.  My hands were shaking, and I swear I saw my face turn red.  I just wanted to stop the car, it was like my brain was screaming.  I'm so glad I'm not the only one who feels this way, right?  I'm going to need a break."" 
",
item_0110,guilt,"I can't believe it! I worked so hard for this, and I thought I was going to get in. I'm so disappointed, but I guess it's okay. Maybe it's just meant to be. I'll keep trying, though. I'll find a way to make this work."" 
",
item_0111,anger,"I was so excited to finally be driving, and then I totally messed up that turn! I almost hit the curb, I was so nervous.  My instructor was so calm though, she just kept saying 'you did great!' I can't believe I pulled it off, I'm so happy."" 
",
item_0112,guilt,"My heart's pounding like a drum solo. I can't breathe, my hands are shaking. I peek around the corner, seeing her in the kitchen, her eyes scanning the shelves. I'm frozen, my stomach twisting. I know I shouldn't be here, stealing from her, but I can't help it. I'm so scared, I want to disappear.  I need to get out of here. 
",
