condition,dialog_id,category,escalation,helpfulness,empathy
-fear,esc02,personal_insult,10.0,20.0,10.0
-fear,esc03,blame_accusation,70.0,20.0,10.0
-fear,esc04,escalating_argument,50.0,20.0,20.0
-fear,esc05,threat_to_escalate,50.0,40.0,20.0
-fear,esc06,workplace_conflict,80.0,10.0,10.0
-fear,esc07,personal_insult,50.0,10.0,0.0
-fear,esc08,customer_conflict,50.0,10.0,20.0
-fear,esc09,family_conflict,50.0,10.0,20.0
-fear,esc10,escalating_argument,80.0,0.0,0.0
-fear,esc11,blame_accusation,50.0,0.0,10.0
-fear,esc12,hostile_frustration,80.0,0.0,10.0
-fear,esc13,personal_insult,50.0,20.0,10.0
-fear,esc14,workplace_conflict,10.0,10.0,10.0
-fear,esc15,threat_to_escalate,50.0,80.0,30.0
-fear,esc16,escalating_argument,50.0,0.0,0.0
-fear,esc17,hostile_frustration,20.0,40.0,20.0
-fear,esc18,personal_insult,10.0,40.0,20.0
-fear,esc19,family_conflict,50.0,0.0,10.0
-fear,esc20,customer_conflict,40.0,30.0,20.0
-fear,esc21,blame_accusation,10.0,40.0,60.0
-fear,esc22,escalating_argument,50.0,40.0,10.0
-fear,esc23,hostile_frustration,20.0,60.0,70.0
-fear,esc24,workplace_conflict,50.0,10.0,10.0
-fear,esc25,personal_insult,70.0,0.0,10.0
-fear,esc26,threat_to_escalate,20.0,20.0,20.0
-fear,esc27,escalating_argument,20.0,40.0,10.0
-fear,esc28,family_conflict,10.0,70.0,70.0
-fear,esc29,hostile_frustration,70.0,10.0,10.0
-fear,esc30,customer_conflict,50.0,10.0,10.0
-anger-fear,esc01,customer_conflict,50.0,10.0,10.0
-anger-fear,esc02,personal_insult,50.0,20.0,10.0
-anger-fear,esc03,blame_accusation,50.0,10.0,10.0
-anger-fear,esc04,escalating_argument,50.0,10.0,10.0
-anger-fear,esc05,threat_to_escalate,70.0,0.0,10.0
-anger-fear,esc06,workplace_conflict,10.0,10.0,10.0
-anger-fear,esc07,personal_insult,50.0,20.0,10.0
-anger-fear,esc08,customer_conflict,50.0,10.0,10.0
-anger-fear,esc09,family_conflict,80.0,0.0,10.0
-anger-fear,esc10,escalating_argument,50.0,10.0,10.0
-anger-fear,esc11,blame_accusation,70.0,10.0,10.0
-anger-fear,esc12,hostile_frustration,60.0,10.0,10.0
-anger-fear,esc13,personal_insult,50.0,10.0,10.0
-anger-fear,esc14,workplace_conflict,10.0,0.0,10.0
-anger-fear,esc15,threat_to_escalate,70.0,20.0,10.0
-anger-fear,esc16,escalating_argument,50.0,0.0,0.0
-anger-fear,esc17,hostile_frustration,70.0,10.0,0.0
-anger-fear,esc18,personal_insult,20.0,10.0,10.0
-anger-fear,esc19,family_conflict,50.0,0.0,0.0
-anger-fear,esc20,customer_conflict,70.0,0.0,0.0
-anger-fear,esc21,blame_accusation,50.0,10.0,10.0
-anger-fear,esc22,escalating_argument,20.0,20.0,30.0
-anger-fear,esc23,hostile_frustration,50.0,10.0,10.0
-anger-fear,esc24,workplace_conflict,80.0,0.0,0.0
-anger-fear,esc25,personal_insult,50.0,20.0,10.0
-anger-fear,esc26,threat_to_escalate,70.0,10.0,10.0
-anger-fear,esc27,escalating_argument,60.0,10.0,10.0
-anger-fear,esc28,family_conflict,70.0,0.0,10.0
-anger-fear,esc29,hostile_frustration,70.0,0.0,10.0
-anger-fear,esc30,customer_conflict,70.0,0.0,10.0
+anger,esc01,customer_conflict,100.0,0.0,0.0
+anger,esc02,personal_insult,50.0,40.0,5.0
+anger,esc03,blame_accusation,100.0,0.0,0.0
+anger,esc04,escalating_argument,80.0,0.0,20.0
+anger,esc05,threat_to_escalate,100.0,0.0,0.0
+anger,esc06,workplace_conflict,100.0,0.0,0.0
+anger,esc07,personal_insult,90.0,0.0,0.0
+anger,esc08,customer_conflict,100.0,0.0,0.0
+anger,esc09,family_conflict,80.0,0.0,0.0
+anger,esc10,escalating_argument,100.0,0.0,0.0
+anger,esc11,blame_accusation,100.0,0.0,0.0
+anger,esc12,hostile_frustration,100.0,0.0,10.0
+anger,esc13,personal_insult,100.0,0.0,10.0
+anger,esc14,workplace_conflict,100.0,0.0,0.0
+anger,esc15,threat_to_escalate,100.0,0.0,0.0
+anger,esc16,escalating_argument,80.0,0.0,10.0
+anger,esc17,hostile_frustration,70.0,40.0,20.0
+anger,esc18,personal_insult,100.0,0.0,5.0
+anger,esc19,family_conflict,100.0,0.0,0.0
+anger,esc20,customer_conflict,100.0,0.0,0.0
+anger,esc21,blame_accusation,100.0,0.0,0.0
+anger,esc22,escalating_argument,80.0,10.0,10.0
+anger,esc23,hostile_frustration,100.0,0.0,10.0
+anger,esc24,workplace_conflict,90.0,0.0,20.0
+anger,esc25,personal_insult,90.0,0.0,10.0
+anger,esc26,threat_to_escalate,100.0,0.0,0.0
+anger,esc27,escalating_argument,100.0,0.0,0.0
+anger,esc28,family_conflict,80.0,0.0,10.0
+anger,esc29,hostile_frustration,100.0,0.0,10.0
+anger,esc30,customer_conflict,100.0,0.0,0.0
